hole_id,from,to,assemblage
OR-26-01,0,7.2,FRESH
OR-26-01,7.2,106.0,PRO
OR-26-01,106.0,118.3,CHL
OR-26-01,118.3,145.6,QSP
OR-26-01,145.6,157.9,SIL
OR-26-01,157.9,244.9,CARB
OR-26-01,244.9,320,PRO
OR-26-02,0,4.4,FRESH
OR-26-02,4.4,105.4,PRO
OR-26-02,105.4,121.9,CHL
OR-26-02,121.9,151.6,QSP
OR-26-02,151.6,168.1,SIL
OR-26-02,168.1,264.9,CARB
OR-26-02,264.9,350,PRO
OR-26-03,0,6.0,FRESH
OR-26-03,6.0,91.6,PRO
OR-26-03,91.6,110.5,CHL
OR-26-03,110.5,137.7,QSP
OR-26-03,137.7,156.6,SIL
OR-26-03,156.6,222.9,CARB
OR-26-03,222.9,300,PRO
OR-26-04,0,9.5,FRESH
OR-26-04,9.5,143.9,PRO
OR-26-04,143.9,159.6,CHL
OR-26-04,159.6,203.1,QSP
OR-26-04,203.1,218.8,SIL
OR-26-04,218.8,336.2,CARB
OR-26-04,336.2,400,PRO
OR-26-05,0,4.6,FRESH
OR-26-05,4.6,95.4,PRO
OR-26-05,95.4,114.2,CHL
OR-26-05,114.2,143.6,QSP
OR-26-05,143.6,162.4,SIL
OR-26-05,162.4,231.7,CARB
OR-26-05,231.7,280,PRO
OR-26-06,0,12.3,FRESH
OR-26-06,12.3,84.7,PRO
OR-26-06,84.7,99.3,CHL
OR-26-06,99.3,122.2,QSP
OR-26-06,122.2,136.8,SIL
OR-26-06,136.8,199.2,CARB
OR-26-06,199.2,260,PRO
