hole_id,from,to,Au_ppm,Ag_ppm,Cu_pct,Pb_pct,Zn_pct,As_ppm,Al_pct,Fe_pct,Mg_pct,Ca_pct,Na_pct,K_pct,Ti_pct
OR-26-01,0.0,2.0,0.005,0.02,0.004,0.002,0.015,3.8,7.93,3.14,2.72,1.58,0.64,1.12,0.39
OR-26-01,2.0,4.0,0.017,0.07,0.008,0.001,0.012,1.3,6.28,3.94,2.17,1.91,0.8,1.79,0.51
OR-26-01,4.0,6.0,0.006,0.02,0.004,0.003,0.014,6.3,7.63,3.94,2.39,2.19,1.08,1.46,0.55
OR-26-01,6.0,8.0,0.027,0.13,0.01,0.001,0.008,3.2,5.35,3.18,2.54,1.26,0.75,1.39,0.56
OR-26-01,8.0,10.0,0.005,0.02,0.01,0.003,0.01,2.2,9.7,5.45,2.38,1.79,1.01,2.63,0.65
OR-26-01,10.0,12.0,0.048,0.23,0.007,0.004,0.013,5.5,10.2,4.31,2.45,1.19,1.1,2.31,0.56
OR-26-01,12.0,14.0,0.009,0.02,0.006,0.003,0.026,2.2,10.09,4.37,2.77,3.98,1.7,2.73,0.53
OR-26-01,14.0,16.0,0.006,0.02,0.009,0.002,0.011,1.2,11.94,6.59,2.54,1.78,1.55,2.25,0.81
OR-26-01,16.0,18.0,0.013,0.04,0.002,0.003,0.014,2.8,9.08,4.84,1.89,3.08,2.43,2.67,0.87
OR-26-01,18.0,20.0,0.009,0.03,0.005,0.009,0.032,3.1,11.4,4.25,2.49,3.73,2.17,3.13,0.69
OR-26-01,20.0,22.0,0.005,0.03,0.006,0.001,0.008,2.4,9.39,4.04,2.96,2.95,1.79,3.4,0.67
OR-26-01,22.0,24.0,0.007,0.02,0.004,0.001,0.008,6.4,10.37,5.75,2.86,2.26,2.38,2.75,0.71
OR-26-01,24.0,26.0,0.011,0.04,0.009,0.002,0.01,2.3,10.67,6.35,1.66,2.68,1.37,2.42,0.81
OR-26-01,26.0,28.0,0.011,0.06,0.013,0.003,0.014,4.8,10.6,5.43,2.91,3.1,2.31,3.41,0.6
OR-26-01,28.0,30.0,0.033,0.18,0.005,0.002,0.011,0.9,10.98,4.43,2.82,3.9,1.33,3.43,0.66
OR-26-01,30.0,32.0,0.003,0.02,0.004,0.002,0.011,1.7,9.06,5.66,2.16,1.05,1.5,2.94,0.7
OR-26-01,32.0,34.0,0.006,0.02,0.009,0.002,0.006,5.2,9.45,6.76,2.36,3.1,1.13,2.09,0.78
OR-26-01,34.0,36.0,0.01,0.06,0.012,0.002,0.01,6.0,9.39,5.58,1.86,1.33,1.24,2.08,0.58
OR-26-01,36.0,38.0,0.008,0.04,0.005,0.001,0.007,5.7,9.57,5.42,2.9,1.32,2.23,2.65,0.7
OR-26-01,38.0,40.0,0.02,0.08,0.003,0.003,0.018,2.8,9.39,4.21,2.61,1.77,1.24,2.13,0.84
OR-26-01,40.0,42.0,0.035,0.11,0.005,0.002,0.011,2.4,9.0,5.14,2.21,2.51,1.3,2.76,0.5
OR-26-01,42.0,44.0,0.009,0.03,0.005,0.003,0.013,5.9,11.64,5.17,1.99,3.95,1.22,3.09,0.76
OR-26-01,44.0,46.0,0.033,0.16,0.009,0.003,0.012,7.4,11.05,6.08,1.84,1.09,1.2,2.54,0.54
OR-26-01,46.0,48.0,0.024,0.11,0.009,0.003,0.011,5.6,10.61,5.98,1.6,3.21,1.38,2.11,0.61
OR-26-01,48.0,50.0,0.015,0.07,0.015,0.002,0.009,6.8,9.29,5.23,2.29,4.76,3.47,1.37,0.78
OR-26-01,50.0,52.0,0.005,0.02,0.008,0.002,0.011,2.6,9.94,6.35,2.54,4.63,3.73,1.25,0.79
OR-26-01,52.0,54.0,0.005,0.03,0.007,0.004,0.014,3.3,8.01,6.48,2.9,4.91,2.68,1.41,0.66
OR-26-01,54.0,56.0,0.055,0.14,0.011,0.003,0.009,3.8,8.86,5.83,2.1,4.31,3.59,1.34,0.97
OR-26-01,56.0,58.0,0.008,0.03,0.004,0.007,0.023,9.1,9.44,5.15,3.46,5.35,3.48,1.77,0.64
OR-26-01,58.0,60.0,0.005,0.02,0.003,0.003,0.013,2.9,8.32,5.62,3.81,5.49,2.79,2.09,1.0
OR-26-01,60.0,62.0,0.01,0.03,0.004,0.001,0.007,6.3,9.5,6.24,2.83,5.57,2.99,1.41,0.53
OR-26-01,62.0,64.0,0.005,0.02,0.01,0.002,0.009,1.0,9.7,7.62,2.04,4.1,3.42,2.07,0.74
OR-26-01,64.0,66.0,0.002,0.02,0.005,0.001,0.006,6.3,8.91,6.65,2.08,6.35,2.8,2.1,0.82
OR-26-01,66.0,68.0,0.009,0.03,0.01,0.002,0.012,1.6,8.02,5.9,2.92,6.88,3.34,2.06,0.74
OR-26-01,68.0,70.0,0.008,0.05,0.009,0.001,0.005,3.0,9.33,7.78,2.45,4.1,2.94,1.5,0.84
OR-26-01,70.0,72.0,0.018,0.05,0.012,0.002,0.016,4.9,9.9,6.49,2.37,4.67,3.04,1.8,0.97
OR-26-01,72.0,74.0,0.006,0.02,0.003,0.003,0.009,4.4,8.75,6.0,2.34,4.01,2.86,1.42,0.98
OR-26-01,74.0,76.0,0.007,0.04,0.011,0.001,0.005,5.7,8.73,7.69,2.06,5.23,3.56,1.92,0.52
