hole_id,from,to,rqd_pct
OR-26-01,0.0,3.0,32.7
OR-26-01,3.0,6.0,28.7
OR-26-01,6.0,9.0,26.3
OR-26-01,9.0,12.0,89.2
OR-26-01,12.0,15.0,67.5
OR-26-01,15.0,18.0,74.3
OR-26-01,18.0,21.0,80.3
OR-26-01,21.0,24.0,75.6
OR-26-01,24.0,27.0,78.9
OR-26-01,27.0,30.0,83.9
OR-26-01,30.0,33.0,67.3
OR-26-01,33.0,36.0,80.9
OR-26-01,36.0,39.0,70.1
OR-26-01,39.0,42.0,75.6
OR-26-01,42.0,45.0,93.9
OR-26-01,45.0,48.0,78.1
OR-26-01,48.0,51.0,94.8
OR-26-01,51.0,54.0,67.4
OR-26-01,54.0,57.0,82.3
OR-26-01,57.0,60.0,89.5
OR-26-01,60.0,63.0,90.4
OR-26-01,63.0,66.0,75.5
OR-26-01,66.0,69.0,75.9
OR-26-01,69.0,72.0,80.4
OR-26-01,72.0,75.0,89.7
OR-26-01,75.0,78.0,67.1
OR-26-01,78.0,81.0,67.9
OR-26-01,81.0,84.0,73.4
OR-26-01,84.0,87.0,86.6
OR-26-01,87.0,90.0,67.0
OR-26-01,90.0,93.0,87.7
OR-26-01,93.0,96.0,74.6
OR-26-01,96.0,99.0,82.9
OR-26-01,99.0,102.0,86.1
OR-26-01,102.0,105.0,78.8
OR-26-01,105.0,108.0,87.2
OR-26-01,108.0,111.0,92.5
OR-26-01,111.0,114.0,75.8
OR-26-01,114.0,117.0,57.9
OR-26-01,117.0,120.0,37.4
OR-26-01,120.0,123.0,46.4
OR-26-01,123.0,126.0,42.3
OR-26-01,126.0,129.0,32.6
OR-26-01,129.0,132.0,35.1
OR-26-01,132.0,135.0,50.8
OR-26-01,135.0,138.0,38.9
OR-26-01,138.0,141.0,57.1
OR-26-01,141.0,144.0,42.4
OR-26-01,144.0,147.0,30.8
OR-26-01,147.0,150.0,39.1
OR-26-01,150.0,153.0,73.6
OR-26-01,153.0,156.0,69.2
OR-26-01,156.0,159.0,78.3
OR-26-01,159.0,162.0,82.1
OR-26-01,162.0,165.0,86.9
OR-26-01,165.0,168.0,95.6
OR-26-01,168.0,171.0,86.2
OR-26-01,171.0,174.0,76.8
OR-26-01,174.0,177.0,72.2
OR-26-01,177.0,180.0,67.6
OR-26-01,180.0,183.0,69.7
OR-26-01,183.0,186.0,85.4
OR-26-01,186.0,189.0,65.4
OR-26-01,189.0,192.0,90.8
OR-26-01,192.0,195.0,70.7
OR-26-01,195.0,198.0,73.7
OR-26-01,198.0,201.0,69.5
OR-26-01,201.0,204.0,81.6
OR-26-01,204.0,207.0,83.9
OR-26-01,207.0,210.0,74.9
OR-26-01,210.0,213.0,68.9
OR-26-01,213.0,216.0,91.6
OR-26-01,216.0,219.0,94.5
OR-26-01,219.0,222.0,85.3
OR-26-01,222.0,225.0,87.9
OR-26-01,225.0,228.0,79.2
OR-26-01,228.0,231.0,92.0
OR-26-01,231.0,234.0,94.5
OR-26-01,234.0,237.0,86.1
OR-26-01,237.0,240.0,82.3
OR-26-01,240.0,243.0,77.3
OR-26-01,243.0,246.0,77.2
OR-26-01,246.0,249.0,79.9
OR-26-01,249.0,252.0,77.4
OR-26-01,252.0,255.0,70.9
OR-26-01,255.0,258.0,95.5
OR-26-01,258.0,261.0,78.7
OR-26-01,261.0,264.0,68.4
OR-26-01,264.0,267.0,83.6
OR-26-01,267.0,270.0,68.2
OR-26-01,270.0,273.0,82.6
OR-26-01,273.0,276.0,81.6
OR-26-01,276.0,279.0,94.4
OR-26-01,279.0,282.0,84.0
OR-26-01,282.0,285.0,67.2
OR-26-01,285.0,288.0,71.4
OR-26-01,288.0,291.0,76.7
OR-26-01,291.0,294.0,84.7
OR-26-01,294.0,297.0,94.6
OR-26-01,297.0,300.0,83.7
OR-26-01,300.0,303.0,79.7
OR-26-01,303.0,306.0,68.6
OR-26-01,306.0,309.0,80.1
OR-26-01,309.0,312.0,95.3
OR-26-01,312.0,315.0,79.9
OR-26-01,315.0,318.0,74.7
OR-26-01,318.0,320,69.5
OR-26-02,0.0,3.0,27.7
OR-26-02,3.0,6.0,53.3
OR-26-02,6.0,9.0,77.3
OR-26-02,9.0,12.0,80.1
OR-26-02,12.0,15.0,95.7
OR-26-02,15.0,18.0,90.8
OR-26-02,18.0,21.0,70.0
OR-26-02,21.0,24.0,78.4
OR-26-02,24.0,27.0,81.0
OR-26-02,27.0,30.0,75.5
OR-26-02,30.0,33.0,71.1
OR-26-02,33.0,36.0,74.9
OR-26-02,36.0,39.0,87.4
OR-26-02,39.0,42.0,65.6
OR-26-02,42.0,45.0,82.2
OR-26-02,45.0,48.0,78.7
OR-26-02,48.0,51.0,65.6
OR-26-02,51.0,54.0,75.3
OR-26-02,54.0,57.0,84.3
OR-26-02,57.0,60.0,80.9
OR-26-02,60.0,63.0,67.0
OR-26-02,63.0,66.0,95.5
OR-26-02,66.0,69.0,89.4
OR-26-02,69.0,72.0,95.1
OR-26-02,72.0,75.0,68.2
OR-26-02,75.0,78.0,73.2
OR-26-02,78.0,81.0,66.2
OR-26-02,81.0,84.0,89.1
OR-26-02,84.0,87.0,73.4
OR-26-02,87.0,90.0,69.0
OR-26-02,90.0,93.0,78.1
OR-26-02,93.0,96.0,93.3
OR-26-02,96.0,99.0,90.4
OR-26-02,99.0,102.0,73.0
OR-26-02,102.0,105.0,69.6
OR-26-02,105.0,108.0,93.5
OR-26-02,108.0,111.0,82.7
OR-26-02,111.0,114.0,86.7
OR-26-02,114.0,117.0,67.8
OR-26-02,117.0,120.0,27.0
OR-26-02,120.0,123.0,49.1
OR-26-02,123.0,126.0,39.9
OR-26-02,126.0,129.0,27.5
OR-26-02,129.0,132.0,57.8
OR-26-02,132.0,135.0,47.2
OR-26-02,135.0,138.0,53.1
OR-26-02,138.0,141.0,27.9
OR-26-02,141.0,144.0,55.0
OR-26-02,144.0,147.0,27.3
OR-26-02,147.0,150.0,55.2
OR-26-02,150.0,153.0,40.9
OR-26-02,153.0,156.0,36.9
OR-26-02,156.0,159.0,82.1
OR-26-02,159.0,162.0,93.7
OR-26-02,162.0,165.0,73.3
OR-26-02,165.0,168.0,69.0
OR-26-02,168.0,171.0,81.3
OR-26-02,171.0,174.0,72.4
OR-26-02,174.0,177.0,68.4
OR-26-02,177.0,180.0,70.0
OR-26-02,180.0,183.0,66.6
OR-26-02,183.0,186.0,71.3
OR-26-02,186.0,189.0,74.7
OR-26-02,189.0,192.0,74.5
OR-26-02,192.0,195.0,88.5
OR-26-02,195.0,198.0,74.0
OR-26-02,198.0,201.0,80.5
OR-26-02,201.0,204.0,70.5
OR-26-02,204.0,207.0,75.8
OR-26-02,207.0,210.0,65.6
OR-26-02,210.0,213.0,72.8
OR-26-02,213.0,216.0,65.5
OR-26-02,216.0,219.0,87.7
OR-26-02,219.0,222.0,82.1
OR-26-02,222.0,225.0,70.9
OR-26-02,225.0,228.0,79.7
OR-26-02,228.0,231.0,94.0
OR-26-02,231.0,234.0,68.3
OR-26-02,234.0,237.0,90.4
OR-26-02,237.0,240.0,78.4
OR-26-02,240.0,243.0,80.3
OR-26-02,243.0,246.0,90.9
OR-26-02,246.0,249.0,77.2
OR-26-02,249.0,252.0,80.7
OR-26-02,252.0,255.0,86.3
OR-26-02,255.0,258.0,95.5
OR-26-02,258.0,261.0,75.6
OR-26-02,261.0,264.0,90.8
OR-26-02,264.0,267.0,86.9
OR-26-02,267.0,270.0,84.7
OR-26-02,270.0,273.0,77.5
OR-26-02,273.0,276.0,75.8
OR-26-02,276.0,279.0,66.7
OR-26-02,279.0,282.0,69.0
OR-26-02,282.0,285.0,67.2
OR-26-02,285.0,288.0,88.0
OR-26-02,288.0,291.0,72.9
OR-26-02,291.0,294.0,70.1
OR-26-02,294.0,297.0,67.6
OR-26-02,297.0,300.0,91.1
OR-26-02,300.0,303.0,92.0
OR-26-02,303.0,306.0,85.8
OR-26-02,306.0,309.0,73.7
OR-26-02,309.0,312.0,72.5
OR-26-02,312.0,315.0,74.1
OR-26-02,315.0,318.0,79.2
OR-26-02,318.0,321.0,69.9
OR-26-02,321.0,324.0,78.8
OR-26-02,324.0,327.0,73.2
OR-26-02,327.0,330.0,94.8
OR-26-02,330.0,333.0,95.2
OR-26-02,333.0,336.0,82.0
OR-26-02,336.0,339.0,72.6
OR-26-02,339.0,342.0,94.9
OR-26-02,342.0,345.0,74.6
OR-26-02,345.0,348.0,76.1
OR-26-02,348.0,350,65.0
OR-26-03,0.0,3.0,30.4
OR-26-03,3.0,6.0,45.9
OR-26-03,6.0,9.0,95.3
OR-26-03,9.0,12.0,73.1
OR-26-03,12.0,15.0,85.3
OR-26-03,15.0,18.0,74.3
OR-26-03,18.0,21.0,82.3
OR-26-03,21.0,24.0,77.2
OR-26-03,24.0,27.0,70.2
OR-26-03,27.0,30.0,70.0
OR-26-03,30.0,33.0,71.4
OR-26-03,33.0,36.0,93.1
OR-26-03,36.0,39.0,80.4
OR-26-03,39.0,42.0,71.8
OR-26-03,42.0,45.0,93.1
OR-26-03,45.0,48.0,95.9
OR-26-03,48.0,51.0,78.9
OR-26-03,51.0,54.0,69.3
OR-26-03,54.0,57.0,71.0
OR-26-03,57.0,60.0,67.8
OR-26-03,60.0,63.0,75.6
OR-26-03,63.0,66.0,67.8
OR-26-03,66.0,69.0,72.4
OR-26-03,69.0,72.0,73.0
OR-26-03,72.0,75.0,82.7
OR-26-03,75.0,78.0,92.5
OR-26-03,78.0,81.0,88.2
OR-26-03,81.0,84.0,77.8
OR-26-03,84.0,87.0,77.8
OR-26-03,87.0,90.0,81.2
OR-26-03,90.0,93.0,76.7
OR-26-03,93.0,96.0,75.5
OR-26-03,96.0,99.0,66.9
OR-26-03,99.0,102.0,73.6
OR-26-03,102.0,105.0,95.0
OR-26-03,105.0,108.0,68.9
OR-26-03,108.0,111.0,42.6
OR-26-03,111.0,114.0,47.0
OR-26-03,114.0,117.0,55.2
OR-26-03,117.0,120.0,32.6
OR-26-03,120.0,123.0,34.5
OR-26-03,123.0,126.0,33.7
OR-26-03,126.0,129.0,39.0
OR-26-03,129.0,132.0,40.6
OR-26-03,132.0,135.0,58.4
OR-26-03,135.0,138.0,54.7
OR-26-03,138.0,141.0,55.6
OR-26-03,141.0,144.0,65.7
OR-26-03,144.0,147.0,66.0
OR-26-03,147.0,150.0,87.0
OR-26-03,150.0,153.0,92.8
OR-26-03,153.0,156.0,79.7
OR-26-03,156.0,159.0,83.2
OR-26-03,159.0,162.0,65.0
OR-26-03,162.0,165.0,77.1
OR-26-03,165.0,168.0,93.7
OR-26-03,168.0,171.0,90.6
OR-26-03,171.0,174.0,91.5
OR-26-03,174.0,177.0,95.1
OR-26-03,177.0,180.0,72.7
OR-26-03,180.0,183.0,68.4
OR-26-03,183.0,186.0,69.8
OR-26-03,186.0,189.0,81.2
OR-26-03,189.0,192.0,86.1
OR-26-03,192.0,195.0,94.2
OR-26-03,195.0,198.0,87.4
OR-26-03,198.0,201.0,85.1
OR-26-03,201.0,204.0,88.7
OR-26-03,204.0,207.0,79.2
OR-26-03,207.0,210.0,82.1
OR-26-03,210.0,213.0,66.2
OR-26-03,213.0,216.0,89.3
OR-26-03,216.0,219.0,72.2
OR-26-03,219.0,222.0,93.5
OR-26-03,222.0,225.0,85.0
OR-26-03,225.0,228.0,74.4
OR-26-03,228.0,231.0,69.0
OR-26-03,231.0,234.0,72.8
OR-26-03,234.0,237.0,84.7
OR-26-03,237.0,240.0,86.7
OR-26-03,240.0,243.0,68.5
OR-26-03,243.0,246.0,67.2
OR-26-03,246.0,249.0,81.3
OR-26-03,249.0,252.0,83.1
OR-26-03,252.0,255.0,77.0
OR-26-03,255.0,258.0,71.9
OR-26-03,258.0,261.0,83.6
OR-26-03,261.0,264.0,65.3
OR-26-03,264.0,267.0,74.3
OR-26-03,267.0,270.0,79.3
OR-26-03,270.0,273.0,94.7
OR-26-03,273.0,276.0,85.0
OR-26-03,276.0,279.0,92.4
OR-26-03,279.0,282.0,79.7
OR-26-03,282.0,285.0,72.3
OR-26-03,285.0,288.0,72.7
OR-26-03,288.0,291.0,94.8
OR-26-03,291.0,294.0,86.8
OR-26-03,294.0,297.0,74.5
OR-26-03,297.0,300,65.7
OR-26-04,0.0,3.0,50.7
OR-26-04,3.0,6.0,28.2
OR-26-04,6.0,9.0,21.8
OR-26-04,9.0,12.0,41.0
OR-26-04,12.0,15.0,90.7
OR-26-04,15.0,18.0,71.0
OR-26-04,18.0,21.0,67.3
OR-26-04,21.0,24.0,80.9
OR-26-04,24.0,27.0,70.5
OR-26-04,27.0,30.0,83.7
OR-26-04,30.0,33.0,89.0
OR-26-04,33.0,36.0,85.6
OR-26-04,36.0,39.0,65.2
OR-26-04,39.0,42.0,84.8
OR-26-04,42.0,45.0,87.0
OR-26-04,45.0,48.0,75.8
OR-26-04,48.0,51.0,66.2
OR-26-04,51.0,54.0,75.5
OR-26-04,54.0,57.0,66.4
OR-26-04,57.0,60.0,96.0
OR-26-04,60.0,63.0,66.2
OR-26-04,63.0,66.0,87.7
OR-26-04,66.0,69.0,93.3
OR-26-04,69.0,72.0,90.3
OR-26-04,72.0,75.0,90.4
OR-26-04,75.0,78.0,77.7
OR-26-04,78.0,81.0,76.5
OR-26-04,81.0,84.0,84.3
OR-26-04,84.0,87.0,67.4
OR-26-04,87.0,90.0,66.0
OR-26-04,90.0,93.0,80.4
OR-26-04,93.0,96.0,80.0
OR-26-04,96.0,99.0,77.7
OR-26-04,99.0,102.0,89.7
OR-26-04,102.0,105.0,85.6
OR-26-04,105.0,108.0,69.8
OR-26-04,108.0,111.0,81.6
OR-26-04,111.0,114.0,85.2
OR-26-04,114.0,117.0,77.3
OR-26-04,117.0,120.0,73.4
OR-26-04,120.0,123.0,95.6
OR-26-04,123.0,126.0,85.7
OR-26-04,126.0,129.0,78.0
OR-26-04,129.0,132.0,66.6
OR-26-04,132.0,135.0,88.1
OR-26-04,135.0,138.0,92.4
OR-26-04,138.0,141.0,77.8
OR-26-04,141.0,144.0,65.6
OR-26-04,144.0,147.0,88.8
OR-26-04,147.0,150.0,89.9
OR-26-04,150.0,153.0,85.0
OR-26-04,153.0,156.0,77.1
OR-26-04,156.0,159.0,39.2
OR-26-04,159.0,162.0,58.0
OR-26-04,162.0,165.0,40.2
OR-26-04,165.0,168.0,30.5
OR-26-04,168.0,171.0,29.0
OR-26-04,171.0,174.0,28.2
OR-26-04,174.0,177.0,45.2
OR-26-04,177.0,180.0,37.8
OR-26-04,180.0,183.0,52.1
OR-26-04,183.0,186.0,29.5
OR-26-04,186.0,189.0,26.8
OR-26-04,189.0,192.0,30.0
OR-26-04,192.0,195.0,53.2
OR-26-04,195.0,198.0,38.9
OR-26-04,198.0,201.0,45.1
OR-26-04,201.0,204.0,57.5
OR-26-04,204.0,207.0,50.8
OR-26-04,207.0,210.0,70.3
OR-26-04,210.0,213.0,75.8
OR-26-04,213.0,216.0,70.0
OR-26-04,216.0,219.0,70.3
OR-26-04,219.0,222.0,67.1
OR-26-04,222.0,225.0,76.9
OR-26-04,225.0,228.0,88.4
OR-26-04,228.0,231.0,89.6
OR-26-04,231.0,234.0,89.9
OR-26-04,234.0,237.0,74.4
OR-26-04,237.0,240.0,91.0
OR-26-04,240.0,243.0,66.3
OR-26-04,243.0,246.0,93.3
OR-26-04,246.0,249.0,74.8
OR-26-04,249.0,252.0,83.8
OR-26-04,252.0,255.0,84.7
OR-26-04,255.0,258.0,67.7
OR-26-04,258.0,261.0,87.1
OR-26-04,261.0,264.0,86.3
OR-26-04,264.0,267.0,92.6
OR-26-04,267.0,270.0,84.9
OR-26-04,270.0,273.0,91.6
OR-26-04,273.0,276.0,84.3
OR-26-04,276.0,279.0,84.1
OR-26-04,279.0,282.0,71.1
OR-26-04,282.0,285.0,79.7
OR-26-04,285.0,288.0,82.5
OR-26-04,288.0,291.0,66.3
OR-26-04,291.0,294.0,94.1
OR-26-04,294.0,297.0,69.9
OR-26-04,297.0,300.0,76.1
OR-26-04,300.0,303.0,69.6
OR-26-04,303.0,306.0,95.1
OR-26-04,306.0,309.0,90.3
OR-26-04,309.0,312.0,71.0
OR-26-04,312.0,315.0,92.4
OR-26-04,315.0,318.0,91.1
OR-26-04,318.0,321.0,85.8
OR-26-04,321.0,324.0,85.7
OR-26-04,324.0,327.0,75.1
OR-26-04,327.0,330.0,77.1
OR-26-04,330.0,333.0,79.1
OR-26-04,333.0,336.0,91.3
OR-26-04,336.0,339.0,89.1
OR-26-04,339.0,342.0,85.1
OR-26-04,342.0,345.0,74.6
OR-26-04,345.0,348.0,72.7
OR-26-04,348.0,351.0,77.1
OR-26-04,351.0,354.0,76.4
OR-26-04,354.0,357.0,80.6
OR-26-04,357.0,360.0,70.5
OR-26-04,360.0,363.0,65.1
OR-26-04,363.0,366.0,95.6
OR-26-04,366.0,369.0,79.4
OR-26-04,369.0,372.0,78.9
OR-26-04,372.0,375.0,84.2
OR-26-04,375.0,378.0,90.4
OR-26-04,378.0,381.0,90.9
OR-26-04,381.0,384.0,90.1
OR-26-04,384.0,387.0,77.4
OR-26-04,387.0,390.0,67.1
OR-26-04,390.0,393.0,76.1
OR-26-04,393.0,396.0,76.3
OR-26-04,396.0,399.0,89.9
OR-26-04,399.0,400,80.6
OR-26-05,0.0,3.0,53.1
OR-26-05,3.0,6.0,46.1
OR-26-05,6.0,9.0,75.1
OR-26-05,9.0,12.0,92.3
OR-26-05,12.0,15.0,75.2
OR-26-05,15.0,18.0,72.4
OR-26-05,18.0,21.0,93.1
OR-26-05,21.0,24.0,84.6
OR-26-05,24.0,27.0,86.5
OR-26-05,27.0,30.0,85.6
OR-26-05,30.0,33.0,95.3
OR-26-05,33.0,36.0,79.6
OR-26-05,36.0,39.0,91.0
OR-26-05,39.0,42.0,86.6
OR-26-05,42.0,45.0,91.6
OR-26-05,45.0,48.0,78.6
OR-26-05,48.0,51.0,87.5
OR-26-05,51.0,54.0,82.7
OR-26-05,54.0,57.0,74.5
OR-26-05,57.0,60.0,71.6
OR-26-05,60.0,63.0,84.3
OR-26-05,63.0,66.0,67.4
OR-26-05,66.0,69.0,93.2
OR-26-05,69.0,72.0,69.5
OR-26-05,72.0,75.0,65.8
OR-26-05,75.0,78.0,68.3
OR-26-05,78.0,81.0,93.8
OR-26-05,81.0,84.0,75.7
OR-26-05,84.0,87.0,69.4
OR-26-05,87.0,90.0,65.9
OR-26-05,90.0,93.0,66.3
OR-26-05,93.0,96.0,86.5
OR-26-05,96.0,99.0,84.7
OR-26-05,99.0,102.0,86.6
OR-26-05,102.0,105.0,87.8
OR-26-05,105.0,108.0,67.0
OR-26-05,108.0,111.0,83.3
OR-26-05,111.0,114.0,37.7
OR-26-05,114.0,117.0,53.6
OR-26-05,117.0,120.0,53.7
OR-26-05,120.0,123.0,56.2
OR-26-05,123.0,126.0,27.3
OR-26-05,126.0,129.0,55.4
OR-26-05,129.0,132.0,57.0
OR-26-05,132.0,135.0,58.1
OR-26-05,135.0,138.0,28.7
OR-26-05,138.0,141.0,32.2
OR-26-05,141.0,144.0,28.9
OR-26-05,144.0,147.0,26.2
OR-26-05,147.0,150.0,91.3
OR-26-05,150.0,153.0,90.2
OR-26-05,153.0,156.0,84.7
OR-26-05,156.0,159.0,90.6
OR-26-05,159.0,162.0,84.6
OR-26-05,162.0,165.0,73.9
OR-26-05,165.0,168.0,68.1
OR-26-05,168.0,171.0,68.0
OR-26-05,171.0,174.0,88.5
OR-26-05,174.0,177.0,71.4
OR-26-05,177.0,180.0,74.9
OR-26-05,180.0,183.0,78.1
OR-26-05,183.0,186.0,65.6
OR-26-05,186.0,189.0,73.0
OR-26-05,189.0,192.0,73.8
OR-26-05,192.0,195.0,87.2
OR-26-05,195.0,198.0,76.4
OR-26-05,198.0,201.0,74.9
OR-26-05,201.0,204.0,94.9
OR-26-05,204.0,207.0,80.6
OR-26-05,207.0,210.0,91.4
OR-26-05,210.0,213.0,84.2
OR-26-05,213.0,216.0,66.0
OR-26-05,216.0,219.0,77.8
OR-26-05,219.0,222.0,78.5
OR-26-05,222.0,225.0,89.0
OR-26-05,225.0,228.0,75.8
OR-26-05,228.0,231.0,86.8
OR-26-05,231.0,234.0,81.7
OR-26-05,234.0,237.0,71.7
OR-26-05,237.0,240.0,91.7
OR-26-05,240.0,243.0,67.8
OR-26-05,243.0,246.0,90.4
OR-26-05,246.0,249.0,70.3
OR-26-05,249.0,252.0,65.0
OR-26-05,252.0,255.0,71.3
OR-26-05,255.0,258.0,88.6
OR-26-05,258.0,261.0,95.3
OR-26-05,261.0,264.0,65.1
OR-26-05,264.0,267.0,80.2
OR-26-05,267.0,270.0,80.2
OR-26-05,270.0,273.0,89.7
OR-26-05,273.0,276.0,70.7
OR-26-05,276.0,279.0,80.3
OR-26-05,279.0,280,75.8
OR-26-06,0.0,3.0,48.3
OR-26-06,3.0,6.0,42.2
OR-26-06,6.0,9.0,36.4
OR-26-06,9.0,12.0,39.7
OR-26-06,12.0,15.0,27.9
OR-26-06,15.0,18.0,94.9
OR-26-06,18.0,21.0,75.9
OR-26-06,21.0,24.0,84.8
OR-26-06,24.0,27.0,90.4
OR-26-06,27.0,30.0,90.3
OR-26-06,30.0,33.0,79.5
OR-26-06,33.0,36.0,74.1
OR-26-06,36.0,39.0,82.0
OR-26-06,39.0,42.0,68.9
OR-26-06,42.0,45.0,90.8
OR-26-06,45.0,48.0,76.0
OR-26-06,48.0,51.0,91.4
OR-26-06,51.0,54.0,73.3
OR-26-06,54.0,57.0,76.7
OR-26-06,57.0,60.0,72.9
OR-26-06,60.0,63.0,78.2
OR-26-06,63.0,66.0,70.8
OR-26-06,66.0,69.0,65.1
OR-26-06,69.0,72.0,87.4
OR-26-06,72.0,75.0,73.7
OR-26-06,75.0,78.0,72.6
OR-26-06,78.0,81.0,74.4
OR-26-06,81.0,84.0,79.9
OR-26-06,84.0,87.0,78.3
OR-26-06,87.0,90.0,84.8
OR-26-06,90.0,93.0,85.4
OR-26-06,93.0,96.0,76.2
OR-26-06,96.0,99.0,57.5
OR-26-06,99.0,102.0,54.9
OR-26-06,102.0,105.0,27.0
OR-26-06,105.0,108.0,54.0
OR-26-06,108.0,111.0,56.7
OR-26-06,111.0,114.0,52.4
OR-26-06,114.0,117.0,29.9
OR-26-06,117.0,120.0,54.1
OR-26-06,120.0,123.0,47.2
OR-26-06,123.0,126.0,25.5
OR-26-06,126.0,129.0,65.4
OR-26-06,129.0,132.0,94.5
OR-26-06,132.0,135.0,85.3
OR-26-06,135.0,138.0,72.8
OR-26-06,138.0,141.0,68.1
OR-26-06,141.0,144.0,69.4
OR-26-06,144.0,147.0,72.2
OR-26-06,147.0,150.0,89.1
OR-26-06,150.0,153.0,75.7
OR-26-06,153.0,156.0,69.7
OR-26-06,156.0,159.0,93.0
OR-26-06,159.0,162.0,89.5
OR-26-06,162.0,165.0,70.2
OR-26-06,165.0,168.0,92.6
OR-26-06,168.0,171.0,83.9
OR-26-06,171.0,174.0,89.2
OR-26-06,174.0,177.0,85.7
OR-26-06,177.0,180.0,92.7
OR-26-06,180.0,183.0,89.4
OR-26-06,183.0,186.0,91.0
OR-26-06,186.0,189.0,71.1
OR-26-06,189.0,192.0,86.5
