hole_id,from,to,assemblage
17HR-268,0,7.76,FRESH
17HR-268,7.8,9.0,CHL
17HR-268,9.0,17.0,QSP
17HR-268,9.0,17.0,SIL
17HR-268,26.3,38.0,CHL
17HR-268,38.0,64.0,QSP
17HR-268,38.0,64.0,SIL
17HR-268,76.0,84.9,PRO
17HR-268,84.9,97.0,CHL
17HR-268,97.0,101.0,QSP
17HR-268,97.0,101.0,SIL
17HR-268,113.1,184.0,PRO
17HR-269,0,1.9,FRESH
17HR-269,1.9,182.2,PRO
17HR-269,182.2,191.0,CHL
17HR-269,191.0,195.0,QSP
17HR-269,191.0,195.0,SIL
17HR-269,203.8,205.0,CHL
17HR-269,205.0,219.0,QSP
17HR-269,205.0,219.0,SIL
17HR-269,230.0,230.8,PRO
17HR-269,230.8,245.0,CHL
17HR-269,245.0,247.0,QSP
17HR-269,245.0,247.0,SIL
17HR-269,261.2,289.9,PRO
17HR-269,289.9,303.0,CHL
17HR-269,303.0,305.0,QSP
17HR-269,303.0,305.0,SIL
17HR-269,318.1,337.8,PRO
17HR-269,337.8,347.0,CHL
17HR-269,347.0,349.0,QSP
17HR-269,347.0,349.0,SIL
17HR-269,358.2,361.0,CHL
17HR-269,361.0,363.0,QSP
17HR-269,361.0,363.0,SIL
17HR-269,373.7,385.0,CHL
17HR-269,385.0,387.0,QSP
17HR-269,385.0,387.0,SIL
17HR-269,399.6,402.1,PRO
17HR-269,402.1,411.0,CHL
17HR-269,411.0,415.0,QSP
17HR-269,411.0,415.0,SIL
17HR-269,423.9,435.0,CHL
17HR-269,435.0,439.0,QSP
17HR-269,435.0,439.0,SIL
17HR-269,454.1,449.0,CHL
17HR-269,449.0,471.0,QSP
17HR-269,449.0,471.0,SIL
17HR-269,480.6,481.0,CHL
17HR-269,481.0,483.0,QSP
17HR-269,481.0,483.0,SIL
17HR-269,493.2,499.0,CHL
17HR-269,499.0,511.0,QSP
17HR-269,499.0,511.0,SIL
17HR-269,519.5,523.0,CHL
17HR-269,523.0,527.0,QSP
17HR-269,523.0,527.0,SIL
17HR-269,541.6,549.0,CHL
17HR-269,549.0,551.0,QSP
17HR-269,549.0,551.0,SIL
17HR-269,565.9,565.0,CHL
