hole_id,x,y,z,azimuth,dip,length
17HR-268,463375.03,6177691.17,1160.9,210.0,-45.0,184.0
17HR-269,463215.33,6178558.2,1077.8,200.0,-65.0,632.0
17HR-270,463468.12,6177798.17,1150.3,190.0,-70.0,420.0
17HR-271,463467.4,6177798.47,1150.7,220.0,-74.0,510.0
17HR-272,463402.68,6178483.19,1013.8,200.0,-75.0,770.0
17HR-273,463661.59,6177598.17,1105.8,205.0,-72.0,362.0
17HR-274,463793.26,6177555.09,1028.7,200.0,-63.0,299.0
17HR-275,464061.5,6177389.86,975.2,210.0,-50.0,371.0
17HR-276,462650.92,6179942.63,1184.9,240.0,-55.0,503.0
17HR-277,464061.5,6177389.86,975.2,210.0,-70.0,405.0
17HR-278,462652.48,6179941.31,1184.7,210.0,-70.0,630.3
17HR-279,464010.1,6177008.64,994.2,70.0,-50.0,357.0
17HR-280,464282.23,6177257.02,974.0,210.0,-50.0,129.0
17HR-281,462650.92,6179942.63,1184.9,265.0,-60.0,656.0
17HR-282,462685.84,6178597.77,1356.7,45.0,-60.0,391.0
17HR-283,463452.53,6177688.45,1157.0,205.0,-50.0,158.0
17HR-284,462566.5,6178407.67,1468.3,45.0,-70.0,452.0
17HR-285,462858.47,6179915.76,1074.5,45.0,-65.0,452.0
17HR-286,463452.53,6177688.45,1157.0,215.0,-68.0,314.0
17HR-287,462691.59,6179971.28,1173.7,240.0,-68.0,638.0
17HR-288,463421.49,6177754.15,1169.0,210.0,-51.0,227.0
17HR-289,462566.5,6178407.67,1468.3,45.0,-55.0,242.33
17HR-290,463604.11,6177749.18,1094.4,222.0,-60.0,440.0
17HR-291,463315.91,6177801.72,1188.1,209.0,-52.0,287.0
17HR-292,463841.11,6177507.56,1027.9,212.0,-52.0,209.0
17HR-293,463413.77,6177867.45,1168.1,210.0,-45.0,500.45
17HR-294,462460.4,6180077.53,1310.0,210.0,-45.0,488.0
17HR-295,463372.7,6177769.32,1180.5,204.0,-67.0,302.0
17HR-296,463413.77,6177866.9,1167.9,229.0,-60.0,413.21
17HR-297,463263.45,6177819.42,1204.7,210.0,-50.0,338.0
17HR-298,463373.04,6177769.19,1180.7,215.0,-65.0,374.0
17HR-299,463601.23,6177665.44,1117.9,203.0,-61.0,404.0
17HR-300,463263.48,6177819.43,1204.7,210.0,-66.0,413.0
17HR-301,463557.54,6177717.11,1125.6,217.0,-50.0,332.0
17HR-302,463571.69,6177640.44,1138.5,210.0,-55.0,320.0
17HR-303,463263.62,6177818.99,1205.1,175.0,-70.0,425.0
17HR-304,463553.24,6177804.15,1100.9,175.0,-70.0,500.0
