hole_id,from,to,rqd_pct
17HR-268,0.0,3.0,28.9
17HR-268,3.0,6.0,33.4
17HR-268,6.0,9.0,44.6
17HR-268,9.0,12.0,49.7
17HR-268,12.0,15.0,64.4
17HR-268,15.0,18.0,48.0
17HR-268,18.0,21.0,88.2
17HR-268,21.0,24.0,80.1
17HR-268,24.0,27.0,86.8
17HR-268,27.0,30.0,88.6
17HR-268,30.0,33.0,93.7
17HR-268,33.0,36.0,78.3
17HR-268,36.0,39.0,53.5
17HR-268,39.0,42.0,55.1
17HR-268,42.0,45.0,45.0
17HR-268,45.0,48.0,35.0
17HR-268,48.0,51.0,61.0
17HR-268,51.0,54.0,59.7
17HR-268,54.0,57.0,34.3
17HR-268,57.0,60.0,54.5
17HR-268,60.0,63.0,53.6
17HR-268,63.0,66.0,55.0
17HR-268,66.0,69.0,93.6
17HR-268,69.0,72.0,94.3
17HR-268,72.0,75.0,68.8
17HR-268,75.0,78.0,74.1
17HR-268,78.0,81.0,94.9
17HR-268,81.0,84.0,79.2
17HR-268,84.0,87.0,82.6
17HR-268,87.0,90.0,84.4
17HR-268,90.0,93.0,88.2
17HR-268,93.0,96.0,74.1
17HR-268,96.0,99.0,37.1
17HR-268,99.0,102.0,59.1
17HR-268,102.0,105.0,60.3
17HR-268,105.0,108.0,65.2
17HR-268,108.0,111.0,90.9
17HR-268,111.0,114.0,93.6
17HR-268,114.0,117.0,88.1
17HR-268,117.0,120.0,92.4
17HR-268,120.0,123.0,72.6
17HR-268,123.0,126.0,67.0
17HR-268,126.0,129.0,84.2
17HR-268,129.0,132.0,76.3
17HR-268,132.0,135.0,86.8
17HR-268,135.0,138.0,77.4
17HR-268,138.0,141.0,75.2
17HR-268,141.0,144.0,83.2
17HR-268,144.0,147.0,61.2
17HR-268,147.0,150.0,70.2
17HR-268,150.0,153.0,76.0
17HR-268,153.0,156.0,88.4
17HR-268,156.0,159.0,75.3
17HR-268,159.0,162.0,85.1
17HR-268,162.0,165.0,93.7
17HR-268,165.0,168.0,69.1
17HR-268,168.0,171.0,92.3
17HR-268,171.0,174.0,66.4
17HR-268,174.0,177.0,74.9
17HR-268,177.0,180.0,85.5
17HR-268,180.0,183.0,92.9
17HR-268,183.0,184.0,82.7
17HR-269,0.0,3.0,22.2
17HR-269,3.0,6.0,83.6
17HR-269,6.0,9.0,84.7
17HR-269,9.0,12.0,62.9
17HR-269,12.0,15.0,74.6
17HR-269,15.0,18.0,78.3
17HR-269,18.0,21.0,80.6
17HR-269,21.0,24.0,64.7
17HR-269,24.0,27.0,61.0
17HR-269,27.0,30.0,92.9
17HR-269,30.0,33.0,61.6
17HR-269,33.0,36.0,79.3
17HR-269,36.0,39.0,78.0
17HR-269,39.0,42.0,68.1
17HR-269,42.0,45.0,93.0
17HR-269,45.0,48.0,76.5
17HR-269,48.0,51.0,83.2
17HR-269,51.0,54.0,72.0
17HR-269,54.0,57.0,71.1
17HR-269,57.0,60.0,76.8
17HR-269,60.0,63.0,77.1
17HR-269,63.0,66.0,71.4
17HR-269,66.0,69.0,68.8
17HR-269,69.0,72.0,82.5
17HR-269,72.0,75.0,64.7
17HR-269,75.0,78.0,76.8
17HR-269,78.0,81.0,72.8
17HR-269,81.0,84.0,89.3
17HR-269,84.0,87.0,76.3
17HR-269,87.0,90.0,72.9
17HR-269,90.0,93.0,77.9
17HR-269,93.0,96.0,85.6
17HR-269,96.0,99.0,70.6
17HR-269,99.0,102.0,80.4
17HR-269,102.0,105.0,88.5
17HR-269,105.0,108.0,90.2
17HR-269,108.0,111.0,85.4
17HR-269,111.0,114.0,82.6
17HR-269,114.0,117.0,77.8
17HR-269,117.0,120.0,78.6
17HR-269,120.0,123.0,90.0
17HR-269,123.0,126.0,94.3
17HR-269,126.0,129.0,81.6
17HR-269,129.0,132.0,89.9
17HR-269,132.0,135.0,94.1
17HR-269,135.0,138.0,80.9
17HR-269,138.0,141.0,77.1
17HR-269,141.0,144.0,83.1
17HR-269,144.0,147.0,72.6
17HR-269,147.0,150.0,62.7
17HR-269,150.0,153.0,79.7
17HR-269,153.0,156.0,87.9
17HR-269,156.0,159.0,86.6
17HR-269,159.0,162.0,93.7
17HR-269,162.0,165.0,93.6
17HR-269,165.0,168.0,78.5
17HR-269,168.0,171.0,90.4
17HR-269,171.0,174.0,82.1
17HR-269,174.0,177.0,92.4
17HR-269,177.0,180.0,94.3
17HR-269,180.0,183.0,61.0
17HR-269,183.0,186.0,68.4
17HR-269,186.0,189.0,75.0
17HR-269,189.0,192.0,59.9
17HR-269,192.0,195.0,34.4
17HR-269,195.0,198.0,37.4
17HR-269,198.0,201.0,90.1
17HR-269,201.0,204.0,87.2
17HR-269,204.0,207.0,55.1
17HR-269,207.0,210.0,34.8
17HR-269,210.0,213.0,53.7
17HR-269,213.0,216.0,60.0
17HR-269,216.0,219.0,42.7
17HR-269,219.0,222.0,52.8
17HR-269,222.0,225.0,78.6
17HR-269,225.0,228.0,85.4
17HR-269,228.0,231.0,66.6
17HR-269,231.0,234.0,81.2
17HR-269,234.0,237.0,84.7
17HR-269,237.0,240.0,65.4
17HR-269,240.0,243.0,65.0
17HR-269,243.0,246.0,57.9
17HR-269,246.0,249.0,58.0
17HR-269,249.0,252.0,80.1
17HR-269,252.0,255.0,88.1
17HR-269,255.0,258.0,90.3
17HR-269,258.0,261.0,69.8
17HR-269,261.0,264.0,70.5
17HR-269,264.0,267.0,88.7
17HR-269,267.0,270.0,64.9
17HR-269,270.0,273.0,93.7
17HR-269,273.0,276.0,84.3
17HR-269,276.0,279.0,64.5
17HR-269,279.0,282.0,65.9
17HR-269,282.0,285.0,84.3
17HR-269,285.0,288.0,86.3
17HR-269,288.0,291.0,83.8
17HR-269,291.0,294.0,74.5
17HR-269,294.0,297.0,81.8
17HR-269,297.0,300.0,91.9
17HR-269,300.0,303.0,63.5
17HR-269,303.0,306.0,40.5
17HR-269,306.0,309.0,78.0
17HR-269,309.0,312.0,91.1
17HR-269,312.0,315.0,63.2
17HR-269,315.0,318.0,83.8
17HR-269,318.0,321.0,74.2
17HR-269,321.0,324.0,91.5
17HR-269,324.0,327.0,65.1
17HR-269,327.0,330.0,77.8
17HR-269,330.0,333.0,76.5
17HR-269,333.0,336.0,62.0
17HR-269,336.0,339.0,72.4
17HR-269,339.0,342.0,89.5
17HR-269,342.0,345.0,84.4
17HR-269,345.0,348.0,58.6
17HR-269,348.0,351.0,41.5
17HR-269,351.0,354.0,61.0
17HR-269,354.0,357.0,77.6
17HR-269,357.0,360.0,90.4
17HR-269,360.0,363.0,33.2
17HR-269,363.0,366.0,53.2
17HR-269,366.0,369.0,67.0
17HR-269,369.0,372.0,89.5
17HR-269,372.0,375.0,68.4
17HR-269,375.0,378.0,83.2
17HR-269,378.0,381.0,77.3
17HR-269,381.0,384.0,73.0
17HR-269,384.0,387.0,48.8
17HR-269,387.0,390.0,60.5
17HR-269,390.0,393.0,85.2
17HR-269,393.0,396.0,76.1
17HR-269,396.0,399.0,72.7
17HR-269,399.0,402.0,67.3
17HR-269,402.0,405.0,70.8
17HR-269,405.0,408.0,85.8
17HR-269,408.0,411.0,62.7
17HR-269,411.0,414.0,49.6
17HR-269,414.0,417.0,46.9
17HR-269,417.0,420.0,90.8
17HR-269,420.0,423.0,67.4
17HR-269,423.0,426.0,66.8
17HR-269,426.0,429.0,86.5
17HR-269,429.0,432.0,72.4
17HR-269,432.0,435.0,53.8
17HR-269,435.0,438.0,54.1
17HR-269,438.0,441.0,34.0
17HR-269,441.0,444.0,67.1
17HR-269,444.0,447.0,75.2
17HR-269,447.0,450.0,61.5
17HR-269,450.0,453.0,63.8
17HR-269,453.0,456.0,45.0
17HR-269,456.0,459.0,49.1
17HR-269,459.0,462.0,35.1
17HR-269,462.0,465.0,61.4
17HR-269,465.0,468.0,52.2
17HR-269,468.0,471.0,39.4
17HR-269,471.0,474.0,55.9
17HR-269,474.0,477.0,73.9
17HR-269,477.0,480.0,76.7
17HR-269,480.0,483.0,46.1
17HR-269,483.0,486.0,39.6
17HR-269,486.0,489.0,72.4
17HR-269,489.0,492.0,94.5
