hole_id,from,to,lithology
17HR-268,0.0,7.76,CAS
17HR-268,7.76,11.2,DACT
17HR-268,11.2,25.0,DACT
17HR-268,25.0,28.5,DACT
17HR-268,28.5,45.5,DACT
17HR-268,45.5,62.0,FINT
17HR-268,49.0,62.0,DACT
17HR-268,62.0,64.8,DACT
17HR-268,64.8,84.2,DACT
17HR-268,84.2,101.2,DACT
17HR-268,101.2,126.0,FINT
17HR-268,126.0,154.0,SED
17HR-268,154.0,166.4,FINT
17HR-268,166.4,169.5,SED
17HR-268,169.5,174.7,FINT
17HR-268,174.7,179.4,SED
17HR-268,179.4,184.0,FINT
17HR-269,0.0,1.9,CAS
17HR-269,1.9,18.0,VCL
17HR-269,18.0,20.5,VCL
17HR-269,20.5,287.0,VCL
17HR-269,287.0,313.0,VCL
17HR-269,313.0,515.0,VCL
17HR-269,515.0,632.0,VCL
17HR-270,0.0,1.46,CAS
17HR-270,1.46,14.0,DACT
17HR-270,14.0,144.0,DACT
17HR-270,144.0,157.3,DACT
17HR-270,157.3,158.0,MINT
17HR-270,158.0,338.9,DACT
17HR-270,338.9,342.25,MINT
17HR-270,342.25,348.38,DACT
17HR-270,348.38,352.27,MINT
17HR-270,352.27,420.0,DACT
17HR-271,0.0,1.82,CAS
17HR-271,1.82,343.0,DACT
17HR-271,343.0,369.0,VCL
17HR-271,369.0,510.0,VCL
17HR-271,506.3,507.0,SED
17HR-271,507.0,510.0,VCL
17HR-272,1.6,770.0,VCL
17HR-273,0.0,1.4,CAS
17HR-273,1.4,191.0,DACT
17HR-273,191.0,235.0,VCL
17HR-273,235.0,362.0,VCL
17HR-274,0.0,1.1,CAS
17HR-274,1.1,3.8,DACT
17HR-274,3.8,9.5,MINT
17HR-274,9.5,21.7,DACT
17HR-274,21.7,22.3,MINT
17HR-274,22.3,32.5,DACT
17HR-274,32.5,72.7,DACT
17HR-274,72.7,111.15,VCL
17HR-274,111.15,111.6,MINT
17HR-274,111.6,299.0,VCL
17HR-275,0.0,1.67,CAS
17HR-275,1.67,31.81,VCL
17HR-275,31.81,84.56,SED
17HR-275,84.56,263.61,DACT
17HR-275,263.61,267.03,MINT
17HR-275,267.03,277.73,DACT
17HR-275,277.73,284.22,VCL
17HR-275,284.22,290.39,MINT
17HR-275,290.39,291.5,VCL
17HR-275,291.5,293.08,MINT
17HR-275,293.08,371.0,VCL
17HR-276,0.0,6.4,CAS
17HR-276,6.4,38.4,BSL
17HR-276,38.4,92.2,VCL
17HR-276,92.2,115.2,VCL
17HR-276,115.2,125.0,DACT
17HR-276,125.0,135.0,DACT
17HR-276,135.0,182.7,DACT
17HR-276,182.7,360.0,DACT
17HR-276,360.0,503.0,DACT
17HR-277,0.0,4.0,CAS
17HR-277,4.0,12.5,VCL
17HR-277,12.5,98.65,SED
17HR-277,98.65,100.65,MINT
17HR-277,100.65,109.63,SED
17HR-277,109.63,116.54,MINT
17HR-277,116.54,203.5,SED
17HR-277,203.5,215.0,DACT
