hole_id,from,to,mag_avg_si
17HR-268,0.0,5.0,0.96
17HR-268,5.0,10.0,1.65
17HR-268,10.0,15.0,0.92
17HR-268,15.0,20.0,0.87
17HR-268,20.0,25.0,1.13
17HR-268,25.0,30.0,3.02
17HR-268,30.0,35.0,5.55
17HR-268,35.0,40.0,0.41
17HR-268,40.0,45.0,1.14
17HR-268,45.0,50.0,0.85
17HR-268,50.0,55.0,0.46
17HR-268,55.0,60.0,1.29
17HR-268,60.0,65.0,1.01
17HR-268,65.0,70.0,0.11
17HR-268,70.0,75.0,5.88
17HR-268,75.0,80.0,3.04
17HR-268,80.0,85.0,5.89
17HR-268,85.0,90.0,7.59
17HR-268,90.0,95.0,2.29
17HR-268,95.0,100.0,1.57
17HR-268,100.0,105.0,1.17
17HR-268,105.0,110.0,0.9
17HR-268,110.0,115.0,6.07
17HR-268,115.0,120.0,2.12
17HR-268,120.0,125.0,5.87
17HR-268,125.0,130.0,3.31
17HR-268,130.0,135.0,7.3
17HR-268,135.0,140.0,7.37
17HR-268,140.0,145.0,2.83
17HR-268,145.0,150.0,5.97
17HR-268,150.0,155.0,3.12
17HR-268,155.0,160.0,3.64
17HR-268,160.0,165.0,5.2
17HR-268,165.0,170.0,7.21
17HR-268,170.0,175.0,4.3
17HR-268,175.0,180.0,3.12
17HR-268,180.0,184.0,3.05
17HR-269,0.0,5.0,0.78
17HR-269,5.0,10.0,6.46
17HR-269,10.0,15.0,7.23
17HR-269,15.0,20.0,2.64
17HR-269,20.0,25.0,3.29
17HR-269,25.0,30.0,4.94
17HR-269,30.0,35.0,4.36
17HR-269,35.0,40.0,7.99
17HR-269,40.0,45.0,2.94
17HR-269,45.0,50.0,5.08
17HR-269,50.0,55.0,4.24
17HR-269,55.0,60.0,5.27
17HR-269,60.0,65.0,7.89
17HR-269,65.0,70.0,2.7
17HR-269,70.0,75.0,4.39
17HR-269,75.0,80.0,4.74
17HR-269,80.0,85.0,4.08
17HR-269,85.0,90.0,5.1
17HR-269,90.0,95.0,7.29
17HR-269,95.0,100.0,2.59
17HR-269,100.0,105.0,3.41
17HR-269,105.0,110.0,3.86
17HR-269,110.0,115.0,2.02
17HR-269,115.0,120.0,7.34
17HR-269,120.0,125.0,6.57
17HR-269,125.0,130.0,5.95
17HR-269,130.0,135.0,4.77
17HR-269,135.0,140.0,4.48
17HR-269,140.0,145.0,5.86
17HR-269,145.0,150.0,6.96
17HR-269,150.0,155.0,3.14
17HR-269,155.0,160.0,6.79
17HR-269,160.0,165.0,7.16
17HR-269,165.0,170.0,4.05
17HR-269,170.0,175.0,3.09
17HR-269,175.0,180.0,2.52
17HR-269,180.0,185.0,3.42
17HR-269,185.0,190.0,4.66
17HR-269,190.0,195.0,1.71
17HR-269,195.0,200.0,1.65
17HR-269,200.0,205.0,1.66
17HR-269,205.0,210.0,1.01
17HR-269,210.0,215.0,1.77
17HR-269,215.0,220.0,1.37
17HR-269,220.0,225.0,0.28
17HR-269,225.0,230.0,2.12
17HR-269,230.0,235.0,4.78
17HR-269,235.0,240.0,7.26
17HR-269,240.0,245.0,0.16
17HR-269,245.0,250.0,0.92
17HR-269,250.0,255.0,0.84
17HR-269,255.0,260.0,4.11
17HR-269,260.0,265.0,2.59
17HR-269,265.0,270.0,2.28
17HR-269,270.0,275.0,3.09
17HR-269,275.0,280.0,5.84
17HR-269,280.0,285.0,3.53
17HR-269,285.0,290.0,5.27
17HR-269,290.0,295.0,3.49
17HR-269,295.0,300.0,2.65
17HR-269,300.0,305.0,1.71
17HR-269,305.0,310.0,0.07
17HR-269,310.0,315.0,0.3
17HR-269,315.0,320.0,5.64
17HR-269,320.0,325.0,3.85
17HR-269,325.0,330.0,6.66
17HR-269,330.0,335.0,4.61
17HR-269,335.0,340.0,2.61
17HR-269,340.0,345.0,3.36
17HR-269,345.0,350.0,1.68
17HR-269,350.0,355.0,0.18
17HR-269,355.0,360.0,7.26
17HR-269,360.0,365.0,0.19
17HR-269,365.0,370.0,1.39
17HR-269,370.0,375.0,3.59
17HR-269,375.0,380.0,4.56
17HR-269,380.0,385.0,1.13
17HR-269,385.0,390.0,1.06
17HR-269,390.0,395.0,0.46
17HR-269,395.0,400.0,6.95
17HR-269,400.0,405.0,5.14
17HR-269,405.0,410.0,5.17
17HR-269,410.0,415.0,0.49
17HR-269,415.0,420.0,1.02
17HR-269,420.0,425.0,0.49
17HR-269,425.0,430.0,4.76
17HR-269,430.0,435.0,0.77
17HR-269,435.0,440.0,1.54
17HR-269,440.0,445.0,0.51
17HR-269,445.0,450.0,1.29
17HR-269,450.0,455.0,1.4
17HR-269,455.0,460.0,1.08
17HR-269,460.0,465.0,0.34
17HR-269,465.0,470.0,1.48
17HR-269,470.0,475.0,0.59
17HR-269,475.0,480.0,0.51
17HR-269,480.0,485.0,0.24
17HR-269,485.0,490.0,1.11
17HR-269,490.0,495.0,2.01
17HR-269,495.0,500.0,0.4
17HR-269,500.0,505.0,1.09
17HR-269,505.0,510.0,1.27
17HR-269,510.0,515.0,1.32
17HR-269,515.0,520.0,1.73
17HR-269,520.0,525.0,0.26
17HR-269,525.0,530.0,0.64
17HR-269,530.0,535.0,1.18
17HR-269,535.0,540.0,5.67
17HR-269,540.0,545.0,5.65
17HR-269,545.0,550.0,1.23
17HR-269,550.0,555.0,1.76
17HR-269,555.0,560.0,1.57
17HR-269,560.0,565.0,1.79
17HR-269,565.0,570.0,1.37
17HR-269,570.0,575.0,0.84
17HR-269,575.0,580.0,0.62
17HR-269,580.0,585.0,0.71
17HR-269,585.0,590.0,0.08
17HR-269,590.0,595.0,0.67
17HR-269,595.0,600.0,1.34
17HR-269,600.0,605.0,6.75
17HR-269,605.0,610.0,1.42
17HR-269,610.0,615.0,0.07
17HR-269,615.0,620.0,0.77
17HR-269,620.0,625.0,0.13
17HR-269,625.0,630.0,2.14
17HR-269,630.0,632.0,6.25
17HR-270,0.0,5.0,1.32
17HR-270,5.0,10.0,3.01
17HR-270,10.0,15.0,7.44
17HR-270,15.0,20.0,3.62
17HR-270,20.0,25.0,3.41
17HR-270,25.0,30.0,4.2
17HR-270,30.0,35.0,4.51
17HR-270,35.0,40.0,1.02
17HR-270,40.0,45.0,0.11
17HR-270,45.0,50.0,1.56
17HR-270,50.0,55.0,5.93
17HR-270,55.0,60.0,1.77
17HR-270,60.0,65.0,0.08
17HR-270,65.0,70.0,0.23
17HR-270,70.0,75.0,0.49
17HR-270,75.0,80.0,0.24
17HR-270,80.0,85.0,0.18
17HR-270,85.0,90.0,0.39
17HR-270,90.0,95.0,1.15
17HR-270,95.0,100.0,0.09
17HR-270,100.0,105.0,3.06
17HR-270,105.0,110.0,2.01
17HR-270,110.0,115.0,2.65
17HR-270,115.0,120.0,7.05
17HR-270,120.0,125.0,2.01
17HR-270,125.0,130.0,7.87
17HR-270,130.0,135.0,0.26
17HR-270,135.0,140.0,0.53
17HR-270,140.0,145.0,7.38
17HR-270,145.0,150.0,1.1
17HR-270,150.0,155.0,0.49
17HR-270,155.0,160.0,0.25
17HR-270,160.0,165.0,5.06
17HR-270,165.0,170.0,3.27
17HR-270,170.0,175.0,2.7
17HR-270,175.0,180.0,2.11
17HR-270,180.0,185.0,5.17
17HR-270,185.0,190.0,6.87
17HR-270,190.0,195.0,7.95
17HR-270,195.0,200.0,4.42
17HR-270,200.0,205.0,5.82
17HR-270,205.0,210.0,1.5
17HR-270,210.0,215.0,0.71
17HR-270,215.0,220.0,0.28
17HR-270,220.0,225.0,2.68
17HR-270,225.0,230.0,1.31
17HR-270,230.0,235.0,0.37
17HR-270,235.0,240.0,7.65
17HR-270,240.0,245.0,6.21
17HR-270,245.0,250.0,6.82
17HR-270,250.0,255.0,7.32
17HR-270,255.0,260.0,6.15
17HR-270,260.0,265.0,3.23
17HR-270,265.0,270.0,6.76
17HR-270,270.0,275.0,7.63
17HR-270,275.0,280.0,5.19
17HR-270,280.0,285.0,4.91
17HR-270,285.0,290.0,2.28
17HR-270,290.0,295.0,6.28
17HR-270,295.0,300.0,4.16
17HR-270,300.0,305.0,7.46
17HR-270,305.0,310.0,3.72
17HR-270,310.0,315.0,4.32
17HR-270,315.0,320.0,6.13
17HR-270,320.0,325.0,3.72
17HR-270,325.0,330.0,0.32
17HR-270,330.0,335.0,0.3
17HR-270,335.0,340.0,0.83
17HR-270,340.0,345.0,0.52
17HR-270,345.0,350.0,1.63
17HR-270,350.0,355.0,1.16
17HR-270,355.0,360.0,0.32
17HR-270,360.0,365.0,1.47
17HR-270,365.0,370.0,1.54
17HR-270,370.0,375.0,1.6
17HR-270,375.0,380.0,0.59
17HR-270,380.0,385.0,1.33
17HR-270,385.0,390.0,0.83
17HR-270,390.0,395.0,0.75
17HR-270,395.0,400.0,0.53
17HR-270,400.0,405.0,7.97
17HR-270,405.0,410.0,6.49
17HR-270,410.0,415.0,2.53
17HR-270,415.0,420.0,5.68
17HR-270,420.0,420.0,4.35
17HR-271,0.0,5.0,1.05
17HR-271,5.0,10.0,0.52
17HR-271,10.0,15.0,0.05
17HR-271,15.0,20.0,7.95
17HR-271,20.0,25.0,7.07
17HR-271,25.0,30.0,5.55
17HR-271,30.0,35.0,1.42
17HR-271,35.0,40.0,1.26
17HR-271,40.0,45.0,0.25
17HR-271,45.0,50.0,1.13
17HR-271,50.0,55.0,2.86
17HR-271,55.0,60.0,4.65
17HR-271,60.0,65.0,0.62
17HR-271,65.0,70.0,1.58
17HR-271,70.0,75.0,0.59
17HR-271,75.0,80.0,1.51
17HR-271,80.0,85.0,1.44
17HR-271,85.0,90.0,0.55
17HR-271,90.0,95.0,0.52
17HR-271,95.0,100.0,1.21
17HR-271,100.0,105.0,0.19
17HR-271,105.0,110.0,7.76
17HR-271,110.0,115.0,5.39
17HR-271,115.0,120.0,7.4
17HR-271,120.0,125.0,1.46
17HR-271,125.0,130.0,1.58
17HR-271,130.0,135.0,1.14
17HR-271,135.0,140.0,0.38
17HR-271,140.0,145.0,1.12
17HR-271,145.0,150.0,0.34
17HR-271,150.0,155.0,7.38
17HR-271,155.0,160.0,1.71
17HR-271,160.0,165.0,0.2
17HR-271,165.0,170.0,2.27
17HR-271,170.0,175.0,6.45
17HR-271,175.0,180.0,6.27
17HR-271,180.0,185.0,0.21
17HR-271,185.0,190.0,0.38
17HR-271,190.0,195.0,1.02
17HR-271,195.0,200.0,0.42
17HR-271,200.0,205.0,1.2
17HR-271,205.0,210.0,0.83
17HR-271,210.0,215.0,0.3
17HR-271,215.0,220.0,7.47
17HR-271,220.0,225.0,5.06
17HR-271,225.0,230.0,0.6
17HR-271,230.0,235.0,0.96
17HR-271,235.0,240.0,0.76
17HR-271,240.0,245.0,3.97
17HR-271,245.0,250.0,6.53
17HR-271,250.0,255.0,7.86
17HR-271,255.0,260.0,6.83
17HR-271,260.0,265.0,5.33
17HR-271,265.0,270.0,6.65
17HR-271,270.0,275.0,7.17
17HR-271,275.0,280.0,0.88
17HR-271,280.0,285.0,0.25
17HR-271,285.0,290.0,0.65
17HR-271,290.0,295.0,5.49
17HR-271,295.0,300.0,5.34
17HR-271,300.0,305.0,7.63
17HR-271,305.0,310.0,3.11
17HR-271,310.0,315.0,4.06
17HR-271,315.0,320.0,0.62
17HR-271,320.0,325.0,0.46
17HR-271,325.0,330.0,0.11
17HR-271,330.0,335.0,6.43
17HR-271,335.0,340.0,0.39
17HR-271,340.0,345.0,0.93
17HR-271,345.0,350.0,1.05
17HR-271,350.0,355.0,5.23
17HR-271,355.0,360.0,7.77
17HR-271,360.0,365.0,4.68
17HR-271,365.0,370.0,3.36
17HR-271,370.0,375.0,4.53
17HR-271,375.0,380.0,6.92
17HR-271,380.0,385.0,3.96
17HR-271,385.0,390.0,4.96
17HR-271,390.0,395.0,7.84
17HR-271,395.0,400.0,4.53
17HR-271,400.0,405.0,5.31
17HR-271,405.0,410.0,2.07
17HR-271,410.0,415.0,3.23
17HR-271,415.0,420.0,2.28
17HR-271,420.0,425.0,6.16
17HR-271,425.0,430.0,2.62
17HR-271,430.0,435.0,2.94
17HR-271,435.0,440.0,2.53
17HR-271,440.0,445.0,6.11
17HR-271,445.0,450.0,2.82
17HR-271,450.0,455.0,4.01
17HR-271,455.0,460.0,7.9
17HR-271,460.0,465.0,7.78
17HR-271,465.0,470.0,2.9
17HR-271,470.0,475.0,2.45
17HR-271,475.0,480.0,7.95
17HR-271,480.0,485.0,4.03
17HR-271,485.0,490.0,4.39
17HR-271,490.0,495.0,6.44
17HR-271,495.0,500.0,4.15
17HR-271,500.0,505.0,7.8
17HR-271,505.0,510.0,2.92
17HR-271,510.0,510.0,4.44
17HR-272,0.0,5.0,0.55
17HR-272,5.0,10.0,1.22
17HR-272,10.0,15.0,0.98
17HR-272,15.0,20.0,0.08
17HR-272,20.0,25.0,1.7
17HR-272,25.0,30.0,0.19
17HR-272,30.0,35.0,1.07
17HR-272,35.0,40.0,0.52
17HR-272,40.0,45.0,0.84
17HR-272,45.0,50.0,6.61
17HR-272,50.0,55.0,6.62
17HR-272,55.0,60.0,2.65
17HR-272,60.0,65.0,1.59
17HR-272,65.0,70.0,0.68
17HR-272,70.0,75.0,1.34
17HR-272,75.0,80.0,1.32
17HR-272,80.0,85.0,0.22
17HR-272,85.0,90.0,3.93
17HR-272,90.0,95.0,1.68
17HR-272,95.0,100.0,0.32
17HR-272,100.0,105.0,0.58
17HR-272,105.0,110.0,0.19
17HR-272,110.0,115.0,3.12
17HR-272,115.0,120.0,6.77
17HR-272,120.0,125.0,4.82
17HR-272,125.0,130.0,6.53
17HR-272,130.0,135.0,2.07
17HR-272,135.0,140.0,3.91
17HR-272,140.0,145.0,4.02
17HR-272,145.0,150.0,5.48
