hole_id,from,to,mineral,percent
17HR-268,12.0,12.0,CPY,17.3
17HR-268,10.2,10.2,PO,2.8
17HR-268,12.6,12.6,PY,16.9
17HR-268,13.9,13.9,CPY,3.3
17HR-268,9.4,9.4,PY,6.1
17HR-268,15.1,15.1,CPY,1.1
17HR-268,55.9,55.9,PO,11.4
17HR-268,50.3,50.3,CPY,12.4
17HR-268,56.0,56.0,CPY,8.9
17HR-268,42.2,42.2,CPY,15.9
17HR-268,53.2,53.2,PY,8.4
17HR-268,41.9,41.9,PY,8.1
17HR-268,98.6,98.6,CPY,16.8
17HR-268,99.6,99.6,PO,19.0
17HR-268,97.1,97.1,PY,14.0
17HR-269,193.8,193.8,SPH,10.8
17HR-269,194.4,194.4,SPH,10.3
17HR-269,193.4,193.4,SPH,15.6
17HR-269,193.4,193.4,PY,10.2
17HR-269,191.1,191.1,PO,8.3
17HR-269,191.1,191.1,PY,3.7
17HR-269,217.0,217.0,SPH,15.6
17HR-269,217.1,217.1,PY,7.7
17HR-269,217.2,217.2,SPH,11.1
17HR-269,212.9,212.9,PY,12.1
17HR-269,245.9,245.9,PY,16.2
17HR-269,246.6,246.6,CPY,19.6
17HR-269,245.5,245.5,CPY,15.3
17HR-269,245.3,245.3,CPY,8.1
17HR-269,303.3,303.3,PO,5.2
17HR-269,304.7,304.7,PY,11.7
17HR-269,304.8,304.8,PY,1.7
17HR-269,304.9,304.9,PO,14.2
17HR-269,304.7,304.7,PY,18.7
17HR-269,348.3,348.3,PO,1.9
17HR-269,347.2,347.2,PY,6.3
17HR-269,347.0,347.0,PY,1.8
17HR-269,348.8,348.8,CPY,14.3
17HR-269,362.1,362.1,PY,11.3
17HR-269,362.0,362.0,SPH,7.7
17HR-269,362.1,362.1,PY,5.6
17HR-269,361.0,361.0,SPH,2.7
17HR-269,385.3,385.3,SPH,4.8
17HR-269,386.5,386.5,SPH,19.7
17HR-269,386.3,386.3,PY,1.4
17HR-269,385.1,385.1,PY,19.6
17HR-269,414.3,414.3,PY,14.2
17HR-269,413.7,413.7,GAL,10.4
17HR-269,411.5,411.5,GAL,8.2
17HR-269,414.9,414.9,PY,9.0
17HR-269,437.0,437.0,SPH,15.1
17HR-269,437.4,437.4,PY,5.5
17HR-269,436.5,436.5,SPH,6.8
17HR-269,437.7,437.7,PY,11.8
17HR-269,436.2,436.2,PY,19.5
17HR-269,469.2,469.2,SPH,9.7
17HR-269,451.1,451.1,PY,15.3
17HR-269,452.5,452.5,PO,18.7
17HR-269,459.5,459.5,SPH,1.1
17HR-269,460.6,460.6,SPH,18.9
17HR-269,481.9,481.9,GAL,3.9
17HR-269,482.3,482.3,GAL,12.2
17HR-269,481.2,481.2,PY,9.4
17HR-269,509.1,509.1,PO,9.3
17HR-269,504.3,504.3,PO,6.7
17HR-269,504.4,504.4,PY,9.9
17HR-269,526.3,526.3,SPH,11.4
17HR-269,523.8,523.8,PO,6.6
17HR-269,526.9,526.9,PO,5.3
17HR-269,525.8,525.8,SPH,16.2
17HR-269,523.9,523.9,SPH,7.4
17HR-269,549.4,549.4,PY,18.3
17HR-269,550.1,550.1,GAL,6.0
17HR-269,550.7,550.7,PY,4.3
17HR-269,549.6,549.6,PY,16.7
17HR-269,549.6,549.6,PY,13.7
17HR-269,549.3,549.3,PO,13.1
17HR-269,580.9,580.9,PY,16.2
17HR-269,578.4,578.4,PY,16.9
17HR-269,570.9,570.9,PY,17.8
17HR-269,615.0,615.0,PY,12.7
17HR-269,610.5,610.5,PO,15.3
17HR-269,612.3,612.3,SPH,11.0
17HR-269,610.9,610.9,PO,7.9
17HR-269,616.5,616.5,SPH,12.1
17HR-270,40.1,40.1,PY,4.9
17HR-270,41.7,41.7,GAL,17.7
17HR-270,37.7,37.7,PY,17.0
17HR-270,42.5,42.5,PY,2.9
17HR-270,59.5,59.5,PY,3.3
17HR-270,67.8,67.8,PO,12.3
17HR-270,59.3,59.3,GAL,10.3
17HR-270,58.3,58.3,GAL,16.7
17HR-270,61.8,61.8,PY,7.0
17HR-270,63.1,63.1,PO,5.4
17HR-270,81.0,81.0,PY,15.9
17HR-270,85.2,85.2,PO,16.5
17HR-270,85.8,85.8,CPY,11.4
17HR-270,80.9,80.9,CPY,9.6
17HR-270,89.8,89.8,PY,13.9
17HR-270,132.8,132.8,CPY,19.7
17HR-270,134.0,134.0,CPY,3.9
17HR-270,133.6,133.6,PY,19.9
17HR-270,133.7,133.7,PY,4.3
17HR-270,149.4,149.4,SPH,13.0
17HR-270,148.1,148.1,SPH,8.7
17HR-270,149.0,149.0,PO,14.2
17HR-270,148.1,148.1,PO,16.1
17HR-270,209.1,209.1,SPH,20.0
17HR-270,209.2,209.2,PO,12.2
17HR-270,210.1,210.1,SPH,3.3
17HR-270,209.2,209.2,PO,2.0
17HR-270,209.2,209.2,SPH,12.9
17HR-270,228.7,228.7,SPH,7.9
17HR-270,228.5,228.5,PY,4.7
17HR-270,228.3,228.3,PY,16.7
17HR-270,227.3,227.3,PY,14.2
