hole_id,depth_m,structure_type,inferred_dip_deg,assumed_dip_azimuth
17HR-268,7.8,CON,48.9,70.0
17HR-268,11.2,CON,59.4,48.6
17HR-268,25.0,CON,40.3,55.6
17HR-268,28.5,CON,48.3,55.8
17HR-268,45.5,CON,50.7,48.2
17HR-268,49.0,CON,37.8,46.4
17HR-268,62.0,CON,35.1,42.8
17HR-268,64.8,CON,48.6,49.9
17HR-268,84.2,CON,51.4,65.0
17HR-268,101.2,CON,60.4,45.5
17HR-268,126.0,CON,35.8,65.4
17HR-268,154.0,CON,45.6,60.6
17HR-268,166.4,CON,58.8,46.5
17HR-268,169.5,CON,53.6,48.4
17HR-268,174.7,CON,57.5,61.9
17HR-268,179.4,CON,52.1,56.9
17HR-268,13.0,VN,60.2,40.3
17HR-268,51.0,VN,65.2,38.9
17HR-268,99.0,VN,49.6,39.2
17HR-269,1.9,CON,51.2,56.3
17HR-269,18.0,CON,36.6,63.1
17HR-269,20.5,CON,48.0,51.5
17HR-269,287.0,CON,62.4,68.6
17HR-269,313.0,CON,42.7,46.2
17HR-269,515.0,CON,36.7,46.9
17HR-269,193.0,VN,32.2,49.7
17HR-269,212.0,VN,69.1,59.8
17HR-269,246.0,VN,50.5,62.0
17HR-269,304.0,VN,54.1,60.3
17HR-269,348.0,VN,32.4,40.1
17HR-269,362.0,VN,69.3,44.2
17HR-269,386.0,VN,61.3,37.7
17HR-269,413.0,VN,34.7,66.7
17HR-269,437.0,VN,74.9,70.0
17HR-269,460.0,VN,62.4,36.5
17HR-269,482.0,VN,49.8,68.4
17HR-269,505.0,VN,63.1,65.3
17HR-269,525.0,VN,68.8,51.4
17HR-269,550.0,VN,46.7,62.1
17HR-269,578.0,VN,65.7,42.6
17HR-269,612.0,VN,32.3,47.5
17HR-270,1.5,CON,36.5,50.8
17HR-270,14.0,CON,35.6,57.2
17HR-270,144.0,CON,45.9,53.6
17HR-270,157.3,CON,52.1,41.4
17HR-270,158.0,CON,47.8,60.9
17HR-270,338.9,CON,41.8,55.3
17HR-270,342.2,CON,62.8,65.4
17HR-270,348.4,CON,53.0,51.7
17HR-270,352.3,CON,60.3,53.9
17HR-270,39.6,VN,30.5,65.3
17HR-270,64.0,VN,57.0,46.3
17HR-270,85.0,VN,42.9,68.2
17HR-270,133.0,VN,43.7,67.6
17HR-270,149.0,VN,69.5,53.4
17HR-270,210.0,VN,31.2,51.7
17HR-270,228.0,VN,41.0,69.2
17HR-270,336.5,VN,35.7,51.8
17HR-270,376.0,VN,74.5,71.7
17HR-271,1.8,CON,45.9,60.3
17HR-271,343.0,CON,56.3,55.7
17HR-271,369.0,CON,50.2,50.4
17HR-271,506.3,CON,58.4,63.1
17HR-271,507.0,CON,50.6,64.6
17HR-271,7.0,VN,56.4,64.4
17HR-271,37.0,VN,73.7,52.9
17HR-271,72.0,VN,31.7,38.8
17HR-271,94.0,VN,72.8,52.9
17HR-271,133.0,VN,52.4,72.6
17HR-271,157.0,VN,70.0,36.9
17HR-271,196.0,VN,47.8,50.1
17HR-271,231.0,VN,51.7,50.4
17HR-271,278.0,VN,70.7,72.1
17HR-271,321.0,VN,56.8,72.5
17HR-271,338.0,VN,40.8,52.2
17HR-272,1.6,CON,45.1,40.1
17HR-272,21.0,VN,40.3,65.5
17HR-272,69.0,VN,55.6,72.8
17HR-272,98.0,VN,40.4,39.9
17HR-272,163.0,VN,39.1,37.8
17HR-272,224.0,VN,67.9,65.3
17HR-272,260.0,VN,57.2,69.0
17HR-272,290.0,VN,46.0,69.0
17HR-272,317.0,VN,41.9,60.7
17HR-272,354.0,VN,68.8,58.0
17HR-272,374.0,VN,59.9,57.0
17HR-272,472.0,VN,35.3,58.7
17HR-272,488.0,VN,61.6,48.8
17HR-272,524.0,VN,57.5,68.7
17HR-272,556.0,VN,41.5,42.0
17HR-272,631.0,VN,39.7,46.4
17HR-273,1.4,CON,35.2,61.0
17HR-273,191.0,CON,41.7,54.7
17HR-273,235.0,CON,55.1,43.5
17HR-273,20.0,VN,50.9,59.9
17HR-273,67.0,VN,59.7,47.2
17HR-273,94.0,VN,46.6,67.6
17HR-273,135.0,VN,71.1,44.0
17HR-273,217.0,VN,46.5,45.3
17HR-273,238.0,VN,46.7,69.6
17HR-274,1.1,CON,49.2,60.0
17HR-274,3.8,CON,47.9,45.2
17HR-274,9.5,CON,38.9,49.3
17HR-274,21.7,CON,40.1,41.9
17HR-274,22.3,CON,49.9,61.0
17HR-274,32.5,CON,41.4,66.2
17HR-274,72.7,CON,53.0,68.6
17HR-274,111.2,CON,39.6,59.1
17HR-274,111.6,CON,46.4,53.7
17HR-274,17.0,VN,49.5,54.0
17HR-274,42.0,VN,50.0,73.2
17HR-274,106.0,VN,58.8,70.1
17HR-274,128.0,VN,39.7,45.4
17HR-274,167.0,VN,37.6,54.0
17HR-274,189.0,VN,32.0,60.4
17HR-274,208.0,VN,74.9,40.5
17HR-274,235.0,VN,49.1,45.9
17HR-274,272.0,VN,69.0,42.8
17HR-275,1.7,CON,57.9,46.5
17HR-275,31.8,CON,45.7,56.0
17HR-275,84.6,CON,61.3,60.7
17HR-275,263.6,CON,41.5,66.3
17HR-275,267.0,CON,54.2,41.0
17HR-275,277.7,CON,63.4,49.8
17HR-275,284.2,CON,42.7,63.7
17HR-275,290.4,CON,41.7,46.3
17HR-275,291.5,CON,45.4,54.3
17HR-275,293.1,CON,60.0,47.8
17HR-275,44.0,VN,36.8,58.9
17HR-275,84.0,VN,45.8,42.2
17HR-275,103.0,VN,35.1,61.3
17HR-275,133.0,VN,41.9,43.2
17HR-275,164.0,VN,41.7,53.1
17HR-275,187.0,VN,62.2,61.2
17HR-275,236.0,VN,45.5,54.1
17HR-275,276.0,VN,46.9,71.6
17HR-275,300.0,VN,56.8,44.3
17HR-276,6.4,CON,44.0,54.1
17HR-276,38.4,CON,62.1,63.5
17HR-276,92.2,CON,60.0,46.7
17HR-276,115.2,CON,35.7,43.5
17HR-276,125.0,CON,51.9,59.9
17HR-276,135.0,CON,49.6,66.1
17HR-276,182.7,CON,36.5,44.1
17HR-276,360.0,CON,39.5,66.5
17HR-276,37.0,VN,61.2,70.1
17HR-276,101.0,VN,64.3,52.8
17HR-276,137.0,VN,43.6,49.4
17HR-276,174.0,VN,69.4,73.0
17HR-276,198.0,VN,74.7,60.9
17HR-276,384.0,VN,72.9,55.4
17HR-276,401.0,VN,46.1,50.0
17HR-276,456.0,VN,57.2,51.6
17HR-276,499.0,VN,42.4,66.0
17HR-277,4.0,CON,57.0,42.0
17HR-277,12.5,CON,38.3,57.0
17HR-277,98.7,CON,53.5,57.8
17HR-277,100.7,CON,47.5,64.9
17HR-277,109.6,CON,49.9,42.1
17HR-277,116.5,CON,52.6,50.5
17HR-277,203.5,CON,48.1,67.9
