hole_id,from,to,lithology
OR-26-01,0,7.2,OBN
OR-26-01,7.2,46.4,S4
OR-26-01,46.4,118.3,V5
OR-26-01,118.3,145.6,SILBX
OR-26-01,145.6,208.8,V6
OR-26-01,208.8,244.9,S7
OR-26-01,244.9,261.1,I6
OR-26-01,261.1,311.3,M1
OR-26-01,311.3,320,M1
OR-26-02,0,4.4,OBN
OR-26-02,4.4,46.9,S4
OR-26-02,46.9,121.9,V5
OR-26-02,121.9,151.6,SILBX
OR-26-02,151.6,228.8,V6
OR-26-02,228.8,264.9,S7
OR-26-02,264.9,284.5,I6
OR-26-02,284.5,347.7,M1
OR-26-02,347.7,350,M1
OR-26-03,0,6.0,OBN
OR-26-03,6.0,41.1,S4
OR-26-03,41.1,110.5,V5
OR-26-03,110.5,137.7,SILBX
OR-26-03,137.7,188.8,V6
OR-26-03,188.8,222.9,S7
OR-26-03,222.9,242.5,I6
OR-26-03,242.5,283.6,M1
OR-26-03,283.6,300,M1
OR-26-04,0,9.5,OBN
OR-26-04,9.5,61.3,S4
OR-26-04,61.3,159.6,V5
OR-26-04,159.6,203.1,SILBX
OR-26-04,203.1,292.7,V6
OR-26-04,292.7,336.2,S7
OR-26-04,336.2,356.7,I6
OR-26-04,356.7,400,M1
OR-26-05,0,4.6,OBN
OR-26-05,4.6,44.6,S4
OR-26-05,44.6,114.2,V5
OR-26-05,114.2,143.6,SILBX
OR-26-05,143.6,198.3,V6
OR-26-05,198.3,231.7,S7
OR-26-05,231.7,247.6,I6
OR-26-05,247.6,280,M1
OR-26-06,0,12.3,OBN
OR-26-06,12.3,51.2,S4
OR-26-06,51.2,99.3,V5
OR-26-06,99.3,122.2,SILBX
OR-26-06,122.2,167.6,V6
OR-26-06,167.6,199.2,S7
OR-26-06,199.2,216.1,I6
OR-26-06,216.1,252.1,M1
OR-26-06,252.1,260,M1
