hole_id,from,to,mag_avg_si
OR-26-01,0.0,5.0,0.78
OR-26-01,5.0,10.0,0.16
OR-26-01,10.0,15.0,2.2
OR-26-01,15.0,20.0,3.96
OR-26-01,20.0,25.0,3.81
OR-26-01,25.0,30.0,6.85
OR-26-01,30.0,35.0,8.7
OR-26-01,35.0,40.0,5.13
OR-26-01,40.0,45.0,8.56
OR-26-01,45.0,50.0,8.92
OR-26-01,50.0,55.0,8.69
OR-26-01,55.0,60.0,4.55
OR-26-01,60.0,65.0,3.54
OR-26-01,65.0,70.0,3.59
OR-26-01,70.0,75.0,3.38
OR-26-01,75.0,80.0,3.43
OR-26-01,80.0,85.0,6.37
OR-26-01,85.0,90.0,8.3
OR-26-01,90.0,95.0,7.88
OR-26-01,95.0,100.0,5.36
OR-26-01,100.0,105.0,6.57
OR-26-01,105.0,110.0,7.6
OR-26-01,110.0,115.0,2.59
OR-26-01,115.0,120.0,6.62
OR-26-01,120.0,125.0,1.37
OR-26-01,125.0,130.0,1.18
OR-26-01,130.0,135.0,1.14
OR-26-01,135.0,140.0,0.74
OR-26-01,140.0,145.0,0.31
OR-26-01,145.0,150.0,1.19
OR-26-01,150.0,155.0,16.98
OR-26-01,155.0,160.0,29.62
OR-26-01,160.0,165.0,34.23
OR-26-01,165.0,170.0,18.69
OR-26-01,170.0,175.0,18.84
OR-26-01,175.0,180.0,33.56
OR-26-01,180.0,185.0,27.57
OR-26-01,185.0,190.0,12.59
OR-26-01,190.0,195.0,11.43
OR-26-01,195.0,200.0,12.08
OR-26-01,200.0,205.0,32.43
OR-26-01,205.0,210.0,29.78
OR-26-01,210.0,215.0,3.02
OR-26-01,215.0,220.0,7.79
OR-26-01,220.0,225.0,8.86
OR-26-01,225.0,230.0,6.6
OR-26-01,230.0,235.0,4.45
OR-26-01,235.0,240.0,5.84
OR-26-01,240.0,245.0,2.92
OR-26-01,245.0,250.0,8.38
OR-26-01,250.0,255.0,34.21
OR-26-01,255.0,260.0,25.54
OR-26-01,260.0,265.0,22.22
OR-26-01,265.0,270.0,8.54
OR-26-01,270.0,275.0,5.04
OR-26-01,275.0,280.0,8.1
OR-26-01,280.0,285.0,7.78
OR-26-01,285.0,290.0,3.48
OR-26-01,290.0,295.0,3.76
OR-26-01,295.0,300.0,4.05
OR-26-01,300.0,305.0,3.68
OR-26-01,305.0,310.0,6.11
OR-26-01,310.0,315.0,3.82
OR-26-01,315.0,320,4.93
OR-26-01,320.0,320,2.92
OR-26-02,0.0,5.0,1.49
OR-26-02,5.0,10.0,7.69
OR-26-02,10.0,15.0,2.98
OR-26-02,15.0,20.0,5.67
OR-26-02,20.0,25.0,5.53
OR-26-02,25.0,30.0,7.84
OR-26-02,30.0,35.0,7.63
OR-26-02,35.0,40.0,7.78
OR-26-02,40.0,45.0,6.09
OR-26-02,45.0,50.0,8.25
OR-26-02,50.0,55.0,6.78
OR-26-02,55.0,60.0,6.85
OR-26-02,60.0,65.0,3.61
OR-26-02,65.0,70.0,2.22
OR-26-02,70.0,75.0,2.93
OR-26-02,75.0,80.0,4.52
OR-26-02,80.0,85.0,2.73
OR-26-02,85.0,90.0,7.85
OR-26-02,90.0,95.0,5.91
OR-26-02,95.0,100.0,6.39
OR-26-02,100.0,105.0,6.38
OR-26-02,105.0,110.0,6.76
OR-26-02,110.0,115.0,5.43
OR-26-02,115.0,120.0,2.02
OR-26-02,120.0,125.0,7.58
OR-26-02,125.0,130.0,1.13
OR-26-02,130.0,135.0,0.78
OR-26-02,135.0,140.0,0.83
OR-26-02,140.0,145.0,1.01
OR-26-02,145.0,150.0,0.15
OR-26-02,150.0,155.0,1.12
OR-26-02,155.0,160.0,14.81
OR-26-02,160.0,165.0,10.01
OR-26-02,165.0,170.0,15.17
OR-26-02,170.0,175.0,27.69
OR-26-02,175.0,180.0,13.54
OR-26-02,180.0,185.0,27.98
OR-26-02,185.0,190.0,34.34
OR-26-02,190.0,195.0,21.34
OR-26-02,195.0,200.0,18.33
OR-26-02,200.0,205.0,20.93
OR-26-02,205.0,210.0,26.46
OR-26-02,210.0,215.0,28.71
OR-26-02,215.0,220.0,24.66
OR-26-02,220.0,225.0,25.35
OR-26-02,225.0,230.0,10.09
OR-26-02,230.0,235.0,3.03
OR-26-02,235.0,240.0,3.78
OR-26-02,240.0,245.0,7.2
OR-26-02,245.0,250.0,4.13
OR-26-02,250.0,255.0,5.97
OR-26-02,255.0,260.0,2.09
OR-26-02,260.0,265.0,2.42
OR-26-02,265.0,270.0,15.26
OR-26-02,270.0,275.0,26.14
OR-26-02,275.0,280.0,26.69
OR-26-02,280.0,285.0,26.24
OR-26-02,285.0,290.0,4.04
OR-26-02,290.0,295.0,5.62
OR-26-02,295.0,300.0,5.25
OR-26-02,300.0,305.0,5.26
OR-26-02,305.0,310.0,2.83
OR-26-02,310.0,315.0,8.26
OR-26-02,315.0,320.0,3.39
OR-26-02,320.0,325.0,8.85
OR-26-02,325.0,330.0,8.55
OR-26-02,330.0,335.0,2.12
OR-26-02,335.0,340.0,5.21
OR-26-02,340.0,345.0,7.74
OR-26-02,345.0,350,8.78
OR-26-02,350.0,350,5.15
OR-26-03,0.0,5.0,1.95
OR-26-03,5.0,10.0,0.37
OR-26-03,10.0,15.0,2.36
OR-26-03,15.0,20.0,2.42
OR-26-03,20.0,25.0,4.75
OR-26-03,25.0,30.0,8.29
OR-26-03,30.0,35.0,8.19
OR-26-03,35.0,40.0,7.13
OR-26-03,40.0,45.0,8.98
OR-26-03,45.0,50.0,8.52
