hole_id,from,to,mineral,percent
OR-26-01,138.5,138.5,CPY,17.6
OR-26-01,132.4,132.4,PY,23.8
OR-26-01,128.2,128.2,SPH,22.9
OR-26-01,139.0,139.0,PY,16.4
OR-26-01,120.8,120.8,GAL,13.4
OR-26-01,143.1,143.1,CPY,6.3
OR-26-01,133.1,133.1,CPY,16.3
OR-26-01,261.0,261.0,PY,3.0
OR-26-01,273.9,273.9,PY,2.5
OR-26-01,263.2,263.2,PY,2.3
OR-26-01,78.1,78.1,PY,1.8
OR-26-02,124.4,124.4,PY,16.7
OR-26-02,129.3,129.3,GAL,3.2
OR-26-02,146.2,146.2,PY,15.1
OR-26-02,133.6,133.6,PY,16.1
OR-26-02,124.4,124.4,ACA,21.5
OR-26-02,126.5,126.5,PO,19.8
OR-26-02,139.6,139.6,GAL,18.3
OR-26-02,136.6,136.6,PY,15.8
OR-26-02,19.5,19.5,PY,2.6
OR-26-02,312.7,312.7,PY,2.1
OR-26-03,134.6,134.6,SPH,2.9
OR-26-03,116.7,116.7,CPY,9.9
OR-26-03,123.9,123.9,SPH,18.2
OR-26-03,120.4,120.4,CPY,1.2
OR-26-03,118.4,118.4,GAL,2.6
OR-26-03,124.0,124.0,PY,19.4
OR-26-03,115.8,115.8,CPY,7.4
OR-26-03,134.7,134.7,PY,16.0
OR-26-03,61.1,61.1,PY,1.1
OR-26-03,128.6,128.6,PY,2.2
OR-26-03,284.9,284.9,PY,0.9
OR-26-03,121.7,121.7,PY,1.0
OR-26-04,161.4,161.4,PY,23.1
OR-26-04,173.2,173.2,SPH,2.9
OR-26-04,192.3,192.3,PO,16.7
OR-26-04,193.7,193.7,PY,2.6
OR-26-04,186.3,186.3,SPH,3.6
OR-26-04,392.9,392.9,PY,1.7
OR-26-04,383.1,383.1,PY,2.8
OR-26-05,121.9,121.9,PO,7.8
OR-26-05,120.5,120.5,SPH,13.0
OR-26-05,117.4,117.4,SPH,2.9
OR-26-05,137.4,137.4,SPH,19.9
OR-26-05,132.7,132.7,CPY,10.6
OR-26-05,125.8,125.8,PO,3.1
OR-26-05,140.3,140.3,PY,5.9
OR-26-05,121.9,121.9,PO,13.0
OR-26-05,125.4,125.4,PO,6.6
OR-26-05,39.5,39.5,PY,2.0
OR-26-05,194.4,194.4,PY,2.0
OR-26-05,13.9,13.9,PY,2.0
OR-26-06,122.2,122.2,SPH,5.3
OR-26-06,107.6,107.6,SPH,1.5
OR-26-06,100.4,100.4,SPH,25.0
OR-26-06,117.8,117.8,PY,12.6
OR-26-06,116.6,116.6,PY,6.1
OR-26-06,108.8,108.8,PY,3.3
OR-26-06,114.4,114.4,PY,19.7
OR-26-06,112.0,112.0,PO,7.8
OR-26-06,116.9,116.9,PY,1.9
OR-26-06,217.1,217.1,PY,1.2
OR-26-06,217.3,217.3,PY,1.5
