hole_id,depth_m,structure_type,inferred_dip_deg,assumed_dip_azimuth
OR-26-01,7.2,CON,45.6,64.7
OR-26-01,46.4,CON,52.5,78.1
OR-26-01,118.3,CON,47.6,78.5
OR-26-01,145.6,CON,50.0,67.0
OR-26-01,208.8,CON,50.7,51.6
OR-26-01,244.9,CON,48.2,56.5
OR-26-01,261.1,CON,35.1,75.0
OR-26-01,311.3,CON,40.2,65.2
OR-26-01,226.9,FLT,68.1,67.1
OR-26-01,244.9,SHZ,53.1,66.4
OR-26-01,126.5,FOL,51.1,71.7
OR-26-01,283.5,VN,32.8,68.9
OR-26-02,4.4,CON,41.3,54.4
OR-26-02,46.9,CON,41.3,43.4
OR-26-02,121.9,CON,39.3,41.7
OR-26-02,151.6,CON,63.6,30.0
OR-26-02,228.8,CON,59.6,41.3
OR-26-02,264.9,CON,61.6,47.1
OR-26-02,284.5,CON,41.9,52.9
OR-26-02,347.7,CON,49.6,26.7
OR-26-02,246.8,FLT,50.1,40.8
OR-26-02,264.9,SHZ,56.3,37.0
OR-26-02,130.8,FOL,42.8,37.9
OR-26-02,46.2,VN,46.6,116.8
OR-26-02,121.3,VN,49.9,338.4
OR-26-03,6.0,CON,35.7,60.0
OR-26-03,41.1,CON,49.3,81.7
OR-26-03,110.5,CON,63.6,64.6
OR-26-03,137.7,CON,42.5,65.9
OR-26-03,188.8,CON,49.8,80.8
OR-26-03,222.9,CON,40.5,77.1
OR-26-03,242.5,CON,57.2,77.7
OR-26-03,283.6,CON,58.2,71.2
OR-26-03,205.9,FLT,58.2,64.4
OR-26-03,222.9,SHZ,54.0,73.6
OR-26-03,118.7,FOL,41.6,61.9
OR-26-03,78.7,VN,33.2,12.2
OR-26-04,9.5,CON,58.5,62.1
OR-26-04,61.3,CON,42.9,50.3
OR-26-04,159.6,CON,54.3,66.9
OR-26-04,203.1,CON,45.5,69.4
OR-26-04,292.7,CON,48.3,78.1
OR-26-04,336.2,CON,57.0,57.5
OR-26-04,356.7,CON,62.1,51.3
OR-26-04,314.4,FLT,63.3,63.1
OR-26-04,336.2,SHZ,50.9,56.2
OR-26-04,172.7,FOL,55.6,55.2
OR-26-04,266.0,VN,39.9,148.7
OR-26-04,211.9,VN,62.1,233.1
OR-26-04,171.7,VN,60.7,183.1
OR-26-05,4.6,CON,61.3,60.3
OR-26-05,44.6,CON,52.5,47.9
OR-26-05,114.2,CON,40.4,44.7
OR-26-05,143.6,CON,48.0,48.8
OR-26-05,198.3,CON,56.0,67.8
OR-26-05,231.7,CON,42.3,53.0
OR-26-05,247.6,CON,56.4,45.7
OR-26-05,215.0,FLT,71.2,55.7
OR-26-05,231.7,SHZ,45.5,63.2
OR-26-05,123.0,FOL,50.4,59.2
OR-26-05,250.9,VN,46.4,3.8
OR-26-06,12.3,CON,36.2,41.6
OR-26-06,51.2,CON,59.3,55.3
OR-26-06,99.3,CON,62.6,51.4
OR-26-06,122.2,CON,35.4,49.6
OR-26-06,167.6,CON,52.8,66.1
OR-26-06,199.2,CON,64.4,52.3
OR-26-06,216.1,CON,47.4,41.1
OR-26-06,252.1,CON,54.3,44.4
OR-26-06,183.4,FLT,53.8,43.3
OR-26-06,199.2,SHZ,45.1,56.7
OR-26-06,106.2,FOL,42.4,62.3
OR-26-06,66.4,VN,36.1,170.0
