hole_id,depth,azimuth,dip
OR-26-01,0,45.0,-60.0
OR-26-01,50,47.0,-59.0
OR-26-01,100,49.0,-58.0
OR-26-01,150,51.0,-57.0
OR-26-01,200,53.0,-56.0
OR-26-01,250,55.0,-55.0
OR-26-01,300,57.0,-54.0
OR-26-01,320,59.0,-53.0
OR-26-02,0,45.0,-65.0
OR-26-02,50,47.0,-64.0
OR-26-02,100,49.0,-63.0
OR-26-02,150,51.0,-62.0
OR-26-02,200,53.0,-61.0
OR-26-02,250,55.0,-60.0
OR-26-02,300,57.0,-59.0
OR-26-02,350,59.0,-58.0
OR-26-03,0,225.0,-55.0
OR-26-03,50,227.0,-54.0
OR-26-03,100,229.0,-53.0
OR-26-03,150,231.0,-52.0
OR-26-03,200,233.0,-51.0
OR-26-03,250,235.0,-50.0
OR-26-03,300,237.0,-49.0
OR-26-04,0,45.0,-70.0
OR-26-04,50,47.0,-69.0
OR-26-04,100,49.0,-68.0
OR-26-04,150,51.0,-67.0
OR-26-04,200,53.0,-66.0
OR-26-04,250,55.0,-65.0
OR-26-04,300,57.0,-64.0
OR-26-04,350,59.0,-63.0
OR-26-04,400,61.0,-62.0
OR-26-05,0,135.0,-60.0
OR-26-05,50,137.0,-59.0
OR-26-05,100,139.0,-58.0
OR-26-05,150,141.0,-57.0
OR-26-05,200,143.0,-56.0
OR-26-05,250,145.0,-55.0
OR-26-05,280,147.0,-54.0
OR-26-06,0,0.0,-90.0
OR-26-06,50,2.0,-89.0
OR-26-06,100,4.0,-88.0
OR-26-06,150,6.0,-87.0
OR-26-06,200,8.0,-86.0
OR-26-06,250,10.0,-85.0
OR-26-06,260,12.0,-84.0
