hole_id,x,y,z,azimuth,dip,length
FG-0101,556000.00,6238000.00,1200.00,0,-90,250.0
FG-0102,556000.00,6238050.00,1200.00,0,-90,250.0
FG-0103,556000.00,6238100.00,1200.00,0,-90,250.0
FG-0104,556000.00,6238150.00,1200.00,0,-90,250.0
FG-0105,556000.00,6238200.00,1200.00,0,-90,250.0
FG-0106,556000.00,6238250.00,1200.00,0,-90,250.0
FG-0107,556000.00,6238300.00,1200.00,0,-90,250.0
FG-0108,556000.00,6238350.00,1200.00,0,-90,250.0
FG-0109,556000.00,6238400.00,1200.00,0,-90,250.0
FG-0110,556000.00,6238450.00,1200.00,0,-90,250.0
FG-0201,556050.00,6238000.00,1200.00,0,-90,250.0
FG-0202,556050.00,6238050.00,1200.00,0,-90,250.0
FG-0203,556050.00,6238100.00,1200.00,0,-90,250.0
FG-0204,556050.00,6238150.00,1200.00,0,-90,250.0
FG-0205,556050.00,6238200.00,1200.00,0,-90,250.0
FG-0206,556050.00,6238250.00,1200.00,0,-90,250.0
FG-0207,556050.00,6238300.00,1200.00,0,-90,250.0
FG-0208,556050.00,6238350.00,1200.00,0,-90,250.0
FG-0209,556050.00,6238400.00,1200.00,0,-90,250.0
FG-0210,556050.00,6238450.00,1200.00,0,-90,250.0
FG-0301,556100.00,6238000.00,1200.00,0,-90,250.0
FG-0302,556100.00,6238050.00,1200.00,0,-90,250.0
FG-0303,556100.00,6238100.00,1200.00,0,-90,250.0
FG-0304,556100.00,6238150.00,1200.00,0,-90,250.0
FG-0305,556100.00,6238200.00,1200.00,0,-90,250.0
FG-0306,556100.00,6238250.00,1200.00,0,-90,250.0
FG-0307,556100.00,6238300.00,1200.00,0,-90,250.0
FG-0308,556100.00,6238350.00,1200.00,0,-90,250.0
FG-0309,556100.00,6238400.00,1200.00,0,-90,250.0
FG-0310,556100.00,6238450.00,1200.00,0,-90,250.0
FG-0401,556150.00,6238000.00,1200.00,0,-90,250.0
FG-0402,556150.00,6238050.00,1200.00,0,-90,250.0
FG-0403,556150.00,6238100.00,1200.00,0,-90,250.0
FG-0404,556150.00,6238150.00,1200.00,0,-90,250.0
FG-0405,556150.00,6238200.00,1200.00,0,-90,250.0
FG-0406,556150.00,6238250.00,1200.00,0,-90,250.0
FG-0407,556150.00,6238300.00,1200.00,0,-90,250.0
FG-0408,556150.00,6238350.00,1200.00,0,-90,250.0
FG-0409,556150.00,6238400.00,1200.00,0,-90,250.0
FG-0410,556150.00,6238450.00,1200.00,0,-90,250.0
FG-0501,556200.00,6238000.00,1200.00,0,-90,250.0
FG-0502,556200.00,6238050.00,1200.00,0,-90,250.0
FG-0503,556200.00,6238100.00,1200.00,0,-90,250.0
FG-0504,556200.00,6238150.00,1200.00,0,-90,250.0
FG-0505,556200.00,6238200.00,1200.00,0,-90,250.0
FG-0506,556200.00,6238250.00,1200.00,0,-90,250.0
FG-0507,556200.00,6238300.00,1200.00,0,-90,250.0
FG-0508,556200.00,6238350.00,1200.00,0,-90,250.0
FG-0509,556200.00,6238400.00,1200.00,0,-90,250.0
FG-0510,556200.00,6238450.00,1200.00,0,-90,250.0
FG-0601,556250.00,6238000.00,1200.00,0,-90,250.0
FG-0602,556250.00,6238050.00,1200.00,0,-90,250.0
FG-0603,556250.00,6238100.00,1200.00,0,-90,250.0
FG-0604,556250.00,6238150.00,1200.00,0,-90,250.0
FG-0605,556250.00,6238200.00,1200.00,0,-90,250.0
FG-0606,556250.00,6238250.00,1200.00,0,-90,250.0
FG-0607,556250.00,6238300.00,1200.00,0,-90,250.0
FG-0608,556250.00,6238350.00,1200.00,0,-90,250.0
FG-0609,556250.00,6238400.00,1200.00,0,-90,250.0
FG-0610,556250.00,6238450.00,1200.00,0,-90,250.0
FG-0701,556300.00,6238000.00,1200.00,0,-90,250.0
FG-0702,556300.00,6238050.00,1200.00,0,-90,250.0
FG-0703,556300.00,6238100.00,1200.00,0,-90,250.0
FG-0704,556300.00,6238150.00,1200.00,0,-90,250.0
FG-0705,556300.00,6238200.00,1200.00,0,-90,250.0
FG-0706,556300.00,6238250.00,1200.00,0,-90,250.0
FG-0707,556300.00,6238300.00,1200.00,0,-90,250.0
FG-0708,556300.00,6238350.00,1200.00,0,-90,250.0
FG-0709,556300.00,6238400.00,1200.00,0,-90,250.0
FG-0710,556300.00,6238450.00,1200.00,0,-90,250.0
FG-0801,556350.00,6238000.00,1200.00,0,-90,250.0
FG-0802,556350.00,6238050.00,1200.00,0,-90,250.0
FG-0803,556350.00,6238100.00,1200.00,0,-90,250.0
FG-0804,556350.00,6238150.00,1200.00,0,-90,250.0
FG-0805,556350.00,6238200.00,1200.00,0,-90,250.0
FG-0806,556350.00,6238250.00,1200.00,0,-90,250.0
FG-0807,556350.00,6238300.00,1200.00,0,-90,250.0
FG-0808,556350.00,6238350.00,1200.00,0,-90,250.0
FG-0809,556350.00,6238400.00,1200.00,0,-90,250.0
FG-0810,556350.00,6238450.00,1200.00,0,-90,250.0
FG-0901,556400.00,6238000.00,1200.00,0,-90,250.0
FG-0902,556400.00,6238050.00,1200.00,0,-90,250.0
FG-0903,556400.00,6238100.00,1200.00,0,-90,250.0
FG-0904,556400.00,6238150.00,1200.00,0,-90,250.0
FG-0905,556400.00,6238200.00,1200.00,0,-90,250.0
FG-0906,556400.00,6238250.00,1200.00,0,-90,250.0
FG-0907,556400.00,6238300.00,1200.00,0,-90,250.0
FG-0908,556400.00,6238350.00,1200.00,0,-90,250.0
FG-0909,556400.00,6238400.00,1200.00,0,-90,250.0
FG-0910,556400.00,6238450.00,1200.00,0,-90,250.0
FG-1001,556450.00,6238000.00,1200.00,0,-90,250.0
FG-1002,556450.00,6238050.00,1200.00,0,-90,250.0
FG-1003,556450.00,6238100.00,1200.00,0,-90,250.0
FG-1004,556450.00,6238150.00,1200.00,0,-90,250.0
FG-1005,556450.00,6238200.00,1200.00,0,-90,250.0
FG-1006,556450.00,6238250.00,1200.00,0,-90,250.0
FG-1007,556450.00,6238300.00,1200.00,0,-90,250.0
FG-1008,556450.00,6238350.00,1200.00,0,-90,250.0
FG-1009,556450.00,6238400.00,1200.00,0,-90,250.0
FG-1010,556450.00,6238450.00,1200.00,0,-90,250.0
