hole_id,from,to,lithology
FG-0101,0.00,12.00,OBN
FG-0101,12.00,55.00,V1
FG-0101,55.00,105.00,S5
FG-0101,105.00,155.00,V5
FG-0101,155.00,250.00,S4
FG-0102,0.00,12.00,OBN
FG-0102,12.00,55.00,V1
FG-0102,55.00,105.00,S5
FG-0102,105.00,155.00,V5
FG-0102,155.00,250.00,S4
FG-0103,0.00,12.00,OBN
FG-0103,12.00,55.00,V1
FG-0103,55.00,105.00,S5
FG-0103,105.00,155.00,V5
FG-0103,155.00,250.00,S4
FG-0104,0.00,12.00,OBN
FG-0104,12.00,55.00,V1
FG-0104,55.00,105.00,S5
FG-0104,105.00,155.00,V5
FG-0104,155.00,250.00,S4
FG-0105,0.00,12.00,OBN
FG-0105,12.00,55.00,V1
FG-0105,55.00,105.00,S5
FG-0105,105.00,155.00,V5
FG-0105,155.00,250.00,S4
FG-0106,0.00,12.00,OBN
FG-0106,12.00,55.00,V1
FG-0106,55.00,105.00,S5
FG-0106,105.00,155.00,V5
FG-0106,155.00,250.00,S4
FG-0107,0.00,12.00,OBN
FG-0107,12.00,55.00,V1
FG-0107,55.00,105.00,S5
FG-0107,105.00,155.00,V5
FG-0107,155.00,250.00,S4
FG-0108,0.00,12.00,OBN
FG-0108,12.00,55.00,V1
FG-0108,55.00,105.00,S5
FG-0108,105.00,155.00,V5
FG-0108,155.00,250.00,S4
FG-0109,0.00,12.00,OBN
FG-0109,12.00,55.00,V1
FG-0109,55.00,105.00,S5
FG-0109,105.00,155.00,V5
FG-0109,155.00,250.00,S4
FG-0110,0.00,12.00,OBN
FG-0110,12.00,55.00,V1
FG-0110,55.00,105.00,S5
FG-0110,105.00,155.00,V5
FG-0110,155.00,250.00,S4
FG-0201,0.00,14.10,OBN
FG-0201,14.10,57.10,V1
FG-0201,57.10,107.10,S5
FG-0201,107.10,157.10,V5
FG-0201,157.10,250.00,S4
FG-0202,0.00,13.89,OBN
FG-0202,13.89,56.89,V1
FG-0202,56.89,106.89,S5
FG-0202,106.89,156.89,V5
FG-0202,156.89,250.00,S4
FG-0203,0.00,13.30,OBN
FG-0203,13.30,56.30,V1
FG-0203,56.30,106.30,S5
FG-0203,106.30,156.30,V5
FG-0203,156.30,250.00,S4
FG-0204,0.00,12.46,OBN
FG-0204,12.46,55.46,V1
FG-0204,55.46,105.46,S5
FG-0204,105.46,155.46,V5
FG-0204,155.46,250.00,S4
FG-0205,0.00,11.52,OBN
FG-0205,11.52,54.52,V1
FG-0205,54.52,104.52,S5
FG-0205,104.52,154.52,V5
FG-0205,154.52,250.00,S4
FG-0206,0.00,10.68,OBN
FG-0206,10.68,53.68,V1
FG-0206,53.68,103.68,S5
FG-0206,103.68,153.68,V5
FG-0206,153.68,250.00,S4
FG-0207,0.00,10.10,OBN
FG-0207,10.10,53.10,V1
FG-0207,53.10,103.10,S5
FG-0207,103.10,153.10,V5
FG-0207,153.10,250.00,S4
FG-0208,0.00,9.90,OBN
FG-0208,9.90,52.90,V1
FG-0208,52.90,102.90,S5
FG-0208,102.90,152.90,V5
FG-0208,152.90,250.00,S4
FG-0209,0.00,10.12,OBN
FG-0209,10.12,53.12,V1
FG-0209,53.12,103.12,S5
FG-0209,103.12,153.12,V5
FG-0209,153.12,250.00,S4
FG-0210,0.00,10.71,OBN
FG-0210,10.71,53.71,V1
FG-0210,53.71,103.71,S5
FG-0210,103.71,153.71,V5
FG-0210,153.71,250.00,S4
FG-0301,0.00,15.58,OBN
FG-0301,15.58,58.58,V1
FG-0301,58.58,108.58,S5
FG-0301,108.58,158.58,V5
FG-0301,158.58,250.00,S4
FG-0302,0.00,15.22,OBN
FG-0302,15.22,58.22,V1
FG-0302,58.22,108.22,S5
FG-0302,108.22,158.22,V5
FG-0302,158.22,250.00,S4
FG-0303,0.00,14.22,OBN
FG-0303,14.22,57.22,V1
FG-0303,57.22,107.22,S5
FG-0303,107.22,157.22,V5
FG-0303,157.22,250.00,S4
FG-0304,0.00,12.78,OBN
FG-0304,12.78,55.78,V1
FG-0304,55.78,105.78,S5
FG-0304,105.78,155.78,V5
FG-0304,155.78,250.00,S4
