hole_id,from,to,type
OR-26-01,128.1,128.3,QZ
OR-26-01,111.1,111.5,QZ-SUL
OR-26-01,138.1,138.5,QZ-PY
OR-26-01,135.6,135.9,QZ-SUL
OR-26-01,110.5,111.0,QZ-CHL
OR-26-01,128.1,128.5,QZ-CHL
OR-26-01,134.8,135.2,QZ-PY
OR-26-01,185.3,185.5,CARB
OR-26-01,178.0,178.1,CARB
OR-26-01,200.2,200.4,QZ
OR-26-01,249.5,249.7,QZ
OR-26-02,146.3,146.6,QZ
OR-26-02,137.1,137.3,QZ-CHL
OR-26-02,157.8,158.3,QZ-SUL
OR-26-02,153.6,153.8,QZ-PY
OR-26-02,131.4,131.7,QZ-SUL
OR-26-02,29.6,29.9,CARB
OR-26-02,313.5,313.6,QZ
OR-26-02,53.7,54.1,QZ
OR-26-03,140.8,141.0,QZ-PY
OR-26-03,139.9,140.1,QZ-SUL
OR-26-03,112.3,112.5,QZ-CHL
OR-26-03,109.5,109.8,QZ
OR-26-03,142.2,142.7,QZ
OR-26-03,143.6,144.2,QZ-SUL
OR-26-03,29.6,30.0,QZ
OR-26-03,138.1,138.4,QZ
OR-26-03,148.3,148.7,CARB
OR-26-03,56.0,56.2,QZ
OR-26-04,160.6,160.8,QZ
OR-26-04,189.0,189.4,QZ-PY
OR-26-04,199.1,199.3,QZ-CHL
OR-26-04,185.6,185.9,QZ-CHL
OR-26-04,162.2,162.4,QZ-SUL
OR-26-04,164.6,164.8,QZ-SUL
OR-26-04,170.3,170.6,QZ-SUL
OR-26-04,214.5,214.8,CARB
OR-26-04,264.0,264.4,CARB
OR-26-04,11.2,11.6,CARB
OR-26-04,336.9,337.3,CARB
OR-26-05,140.8,141.1,QZ-SUL
OR-26-05,153.4,153.6,QZ-PY
OR-26-05,110.3,110.8,QZ-CHL
OR-26-05,139.4,139.6,QZ
OR-26-05,221.0,221.3,QZ
OR-26-05,85.7,86.1,CARB
OR-26-05,28.0,28.3,CARB
OR-26-05,76.0,76.2,CARB
OR-26-06,108.9,109.1,QZ
OR-26-06,111.3,111.7,QZ-CHL
OR-26-06,111.7,112.0,QZ
OR-26-06,98.3,98.7,QZ
OR-26-06,111.3,111.9,QZ-CHL
OR-26-06,116.7,116.9,QZ
OR-26-06,106.4,106.5,QZ
OR-26-06,128.6,129.0,QZ-CHL
OR-26-06,77.7,77.9,QZ
OR-26-06,244.2,244.5,CARB
OR-26-06,257.6,258.0,QZ
OR-26-06,64.6,64.7,CARB
